Went to bed;Woke up;Sleep Quality;Time in bed (seconds);Time asleep (seconds);Asleep after (seconds);Regularity;Did snore;Snore time (seconds);Coughing (per hour);City;Alertness score;Alertness reaction time (seconds);Alertness accuracy;Movements per hour;Wake up window start;Wake up window stop
2024-04-24 23:17:48;2024-04-25 07:57:38;89%;31189;27758;623;—;false;0;0.0;;;;;86.71638;24-04-25 07:57:39;24-04-25 08:20:00
2024-04-26 23:21:57;2024-04-27 08:11:02;91%;31745;26983;634;98%;false;0;0.0;;;;;99.7574;24-04-27 08:03:10;24-04-27 08:30:00
2024-12-12 01:34:21;2024-12-12 10:15:25;100%;31264;24907;625;—;false;0;0.0;;;;;84.14261;24-12-12 09:45:00;24-12-12 10:15:00
2024-12-13 00:51:39;2024-12-13 07:57:55;86%;25576;22507;511;75%;false;0;0.0;;;;;79.620155;24-12-13 07:43:32;24-12-13 08:10:00
2024-12-14 06:12:38;2024-12-14 09:06:37;33%;10438;8594;626;60%;false;0;0.0;;;;;80.25531;24-12-14 08:45:06;24-12-14 09:10:00
2024-12-15 02:09:42;2024-12-15 09:59:43;90%;28201;22278;564;60%;false;0;0.0;;;;;78.558655;24-12-15 09:52:45;24-12-15 10:15:00
2024-12-16 00:39:20;2024-12-16 07:51:54;65%;25953;21022;519;58%;true;8;0.0;;;;;92.45167;24-12-16 07:52:33;24-12-16 08:15:00
2024-12-16 23:32:29;2024-12-17 07:48:08;88%;29738;25476;594;73%;false;0;0.121057235;;;;;83.35914;24-12-17 07:49:58;24-12-17 08:15:00
2024-12-18 01:48:51;2024-12-18 10:18:28;71%;30577;27009;611;73%;false;0;0.0;;;;;96.63692;;
2024-12-19 01:51:31;2024-12-19 10:09:16;89%;29865;21801;597;83%;false;0;0.0;;85%;0,751;100%;84.17606;24-12-19 09:45:00;24-12-19 10:15:00
2024-12-20 01:30:08;2024-12-20 08:30:48;78%;25239;19013;504;81%;false;0;0.0;;;;;82.04091;24-12-20 08:00:00;24-12-20 08:30:00
2024-12-21 03:30:20;2024-12-21 10:44:55;81%;26075;20512;521;82%;false;0;0.0;;;;;80.69598;;
2024-12-22 03:26:12;2024-12-22 11:03:49;77%;27457;23887;549;82%;false;0;0.13111411;;;;;86.66663;;
2024-12-23 01:57:49;2024-12-23 11:50:16;100%;35547;28674;710;81%;false;0;0.10127437;;;;;59.683674;;
2024-12-24 02:16:25;2024-12-24 08:09:58;75%;21213;18455;424;82%;false;0;0.0;;;;;65.23707;24-12-24 08:06:48;24-12-24 08:30:00
2024-12-25 01:34:19;2024-12-25 10:04:06;100%;30586;25590;611;75%;false;0;0.23540182;;94%;0,622;100%;68.67694;;
2024-12-26 01:50:51;2024-12-26 10:13:11;88%;30140;28130;602;81%;false;0;0.0;;;;;80.3307;;
2024-12-27 00:46:43;2024-12-27 10:33:58;99%;35234;29479;704;88%;false;0;0.0;;;;;75.743965;;
2024-12-28 02:56:29;2024-12-28 11:00:02;87%;29013;24371;1450;88%;false;0;0.0;;;;;77.63044;;
2024-12-29 00:26:23;2024-12-29 11:11:06;63%;38683;29527;8381;81%;false;0;0.18612827;;;;;106.792854;;
2024-12-30 01:09:42;2024-12-30 10:25:07;80%;33325;28770;3776;81%;false;0;0.216054;;;;;94.77168;;
2024-12-31 01:35:07;2024-12-31 10:37:01;94%;32514;26770;2926;87%;true;18;0.0;;;;;81.13873;;
2025-01-01 08:44:26;2025-01-01 14:50:59;63%;21993;17741;439;0%;false;0;0.0;;;;;82.49235;;
2025-01-02 03:29:56;2025-01-02 12:35:45;85%;32748;27726;1200;81%;true;61;0.0;;;;;89.75418;;
2025-01-03 03:09:09;2025-01-03 08:09:53;64%;18044;13954;2165;64%;false;0;0.0;;;;;61.675797;25-01-03 07:51:08;25-01-03 08:15:00
2025-01-05 03:59:34;2025-01-05 11:51:34;83%;28319;20767;566;61%;false;0;0.0;;;;;80.04733;;
2025-01-06 03:05:47;2025-01-06 09:19:43;63%;22436;18771;1271;67%;false;0;0.0;;;;;84.10002;;
2025-01-07 02:37:25;2025-01-07 07:00:18;56%;15773;12776;315;74%;false;0;0.0;;;;;55.735645;25-01-07 06:30:00;25-01-07 07:00:00
2025-01-08 00:40:43;2025-01-08 08:15:43;90%;27300;22932;546;74%;false;0;0.0;;;;;66.1145;25-01-08 07:45:00;25-01-08 08:15:00
2025-01-09 02:29:13;2025-01-09 11:26:24;96%;32230;24495;644;69%;false;0;0.111697175;;;;;76.34532;;
2025-01-09 23:34:43;2025-01-10 06:48:07;68%;26003;20542;520;56%;false;0;0.0;;;;;88.85966;25-01-10 07:45:00;25-01-10 08:15:00
2025-01-11 02:51:07;2025-01-11 09:50:28;74%;25160;19708;503;48%;false;0;0.0;;;;;78.336525;;
2025-01-12 02:35:34;2025-01-12 10:04:22;32%;26927;24414;538;60%;false;0;0.0;;;;;184.44736;;
2025-01-13 00:03:32;2025-01-13 08:15:29;87%;29517;25974;590;69%;false;0;0.12196362;;;;;78.22886;25-01-13 07:45:00;25-01-13 08:15:00
2025-01-14 01:23:49;2025-01-14 09:04:32;85%;27643;23773;552;81%;false;0;0.0;;;;;71.03371;;
2025-01-14 23:53:11;2025-01-15 09:19:26;100%;33974;28651;679;77%;false;0;0.10596338;;;;;68.40749;;
2025-01-16 01:15:11;2025-01-16 09:18:57;82%;29026;24769;774;85%;false;0;0.0;;;;;84.167946;;
2025-01-17 00:41:04;2025-01-17 08:00:29;80%;26364;19246;4130;86%;false;0;0.0;;;;;72.49574;25-01-17 07:30:00;25-01-17 08:00:00
2025-01-18 00:15:34;2025-01-18 08:33:00;88%;29846;24772;596;88%;false;0;0.0;;;;;76.74158;;
2025-01-19 01:26:25;2025-01-19 08:55:20;73%;26934;21996;2244;88%;false;0;0.0;;;;;90.76836;;
2025-01-20 00:03:34;2025-01-20 07:36:16;77%;27162;20824;2535;86%;false;0;0.13253811;;;;;84.75118;;
