# index, name, Colegio, Curso, Grupo, Sexo, prosocial, crttotal, _pos
0,3177,9,1,A,Female,0.67,2,"array([0.91898542, 3.28705458])"
1,3191,9,1,A,Male,1.0,2,"array([0.88825489, 3.29691238])"
2,3289,9,1,D,Female,0.67,2,"array([0.95953257, 3.2962192 ])"
3,3188,9,1,A,Male,0.67,0,"array([0.91305462, 3.26807069])"
4,3186,,,,,,,"array([0.87766352, 3.32178134])"
5,3190,,,,,,,"array([0.88014082, 3.2806249 ])"
6,3280,9,1,D,Male,1.0,1,"array([0.95331975, 3.27365303])"
7,3261,,,,,,,"array([0.97561511, 3.20485228])"
8,3216,9,1,B,Male,0.33,2,"array([0.86693212, 3.25259603])"
9,3274,9,1,D,Female,0.33,1,"array([0.9382596 , 3.28872192])"
10,3184,,,,,,,"array([0.90902324, 3.34879387])"
11,3217,9,1,B,Female,0.33,1,"array([0.90027358, 3.2886789 ])"
12,3299,,,,,,,"array([0.94120634, 3.24783752])"
13,3273,9,1,D,Female,0.0,2,"array([0.92518723, 3.25720376])"
14,3287,9,1,D,Female,0.67,0,"array([0.95730159, 3.26432135])"
15,3297,9,1,D,Female,0.67,2,"array([0.92750842, 3.24151191])"
16,3276,9,1,D,Female,0.67,2,"array([0.93425381, 3.22678759])"
17,3294,9,1,D,Female,0.67,2,"array([0.97757559, 3.29216532])"
18,3271,9,1,D,Female,0.67,2,"array([0.98227813, 3.25505016])"
19,3278,9,1,D,Female,0.33,1,"array([0.96349696, 3.28387708])"
20,3282,9,1,D,Female,0.67,2,"array([0.92454544, 3.30832696])"
21,3296,9,1,D,Female,0.67,1,"array([0.9537786 , 3.31335192])"
22,3295,9,1,D,Male,0.67,2,"array([0.9384343 , 3.27667463])"
23,3279,9,1,D,Female,0.67,2,"array([0.93841054, 3.30672531])"
24,3272,9,1,D,Female,0.67,2,"array([0.92453547, 3.27600827])"
25,3179,9,1,A,Male,0.67,1,"array([0.85892646, 3.3204786 ])"
26,3195,9,1,A,Male,0.33,1,"array([0.85394647, 3.29023818])"
27,3187,,,,,,,"array([0.82475033, 3.37111574])"
28,3197,9,1,A,Female,0.67,1,"array([0.89760069, 3.32124767])"
29,3193,9,1,A,Male,0.67,0,"array([0.86034925, 3.33312452])"
30,3196,9,1,A,Female,1.0,2,"array([0.86598185, 3.27780394])"
31,3181,9,1,A,Female,0.67,1,"array([0.91886806, 3.33764552])"
32,3183,,,,,,,"array([0.87567776, 3.38363663])"
33,3200,,,,,,,"array([0.8290172 , 3.26950638])"
34,3202,,,,,,,"array([0.83503119, 3.2874137 ])"
35,3204,,,,,,,"array([0.8368782 , 3.32292727])"
36,3205,,,,,,,"array([0.80856723, 3.3473691 ])"
37,3194,9,1,A,Female,0.33,2,"array([0.94743388, 3.29944639])"
38,3176,,,,,,,"array([0.90327854, 3.37175021])"
39,3275,9,1,D,Female,1.0,2,"array([0.97079068, 3.31018863])"
40,3281,9,1,D,Male,1.0,1,"array([0.92988412, 3.29666107])"
41,3284,9,1,D,Male,0.67,2,"array([0.96111273, 3.23543926])"
42,3293,,,,,,,"array([0.98471392, 3.27704022])"
43,3292,9,1,D,Male,1.0,0,"array([0.94904949, 3.28600547])"
44,3298,,,,,,,"array([0.9554865 , 3.25090141])"
45,3222,,,,,,,"array([0.86015892, 3.2268463 ])"
46,3236,,,,,,,"array([0.90836055, 3.20694608])"
47,3189,9,1,A,Male,0.67,0,"array([0.85127112, 3.34709983])"
48,3185,,,,,,,"array([0.86821899, 3.30867698])"
49,3199,,,,,,,"array([0.81307569, 3.31466968])"
50,3201,,,,,,,"array([0.83136603, 3.30479257])"
51,3182,,,,,,,"array([0.83358343, 3.39843645])"
52,3270,9,1,D,Male,0.67,2,"array([0.9687582 , 3.26621294])"
53,3213,9,1,B,Male,0.67,2,"array([0.87245062, 3.23773929])"
54,3234,9,1,B,Female,0.0,2,"array([0.9130497 , 3.24637303])"
55,3218,,,,,,,"array([0.8816893 , 3.25035048])"
56,3255,9,1,C,Female,0.33,2,"array([0.92931251, 3.26758918])"
57,3212,9,1,B,Female,0.67,2,"array([0.89568484, 3.24941433])"
58,3198,,,,,,,"array([0.81070101, 3.29466062])"
59,3224,,,,,,,"array([0.91972076, 3.21717106])"
60,3228,9,1,B,Male,0.33,2,"array([0.90084537, 3.26244187])"
61,3243,,,,,,,"array([0.89988126, 3.33899005])"
62,3210,9,1,B,Male,0.67,2,"array([0.85112993, 3.25478474])"
63,3192,,,,,,,"array([0.8331807 , 3.34050374])"
64,3237,,,,,,,"array([0.84949677, 3.24012525])"
65,3266,9,1,C,Male,0.0,2,"array([0.90451789, 3.30439689])"
66,3226,9,1,B,Male,1.0,2,"array([0.89530932, 3.27277386])"
67,3240,,,,,,,"array([0.89018359, 3.35449453])"
68,3246,,,,,,,"array([0.93307756, 3.34539511])"
69,3285,9,1,D,Male,0.0,3,"array([0.94647177, 3.23667567])"
70,3180,,,,,,,"array([0.87335244, 3.3411165 ])"
71,3178,,,,,,,"array([0.84786519, 3.30618789])"
72,3258,,,,,,,"array([0.92927802, 3.3255712 ])"
73,3235,9,1,B,Male,1.0,1,"array([0.90728067, 3.27906379])"
74,3265,9,1,C,Male,0.33,1,"array([0.88751805, 3.33164774])"
