Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-12-12 19:38:54,"Evening Workout",30m,"Push Up",6,0,1,0,0,,,
2024-12-12 19:38:54,"Evening Workout",30m,"Triceps Dip",1,0,18,0,0,"",,
2024-12-12 19:38:54,"Evening Workout",30m,"Triceps Dip",2,0,15,0,0,,,
2024-12-12 19:38:54,"Evening Workout",30m,"Triceps Dip",3,0.0,7,0,0,,,
2024-12-12 19:38:54,"Evening Workout",30m,"Triceps Dip",4,0.0,9,0,0,,,
2024-12-13 18:23:43,"Evening Workout",28m,"Squat (Bodyweight)",1,0,50,0,0,"","",
2024-12-13 18:23:43,"Evening Workout",28m,"Squat (Bodyweight)",2,0,55,0,0,,,
2024-12-13 18:23:43,"Evening Workout",28m,"Squat (Bodyweight)",3,0,40,0,0,,,
2024-12-13 18:23:43,"Evening Workout",28m,"Pistol Squat",1,0,12,0,0,"",,
2024-12-13 18:23:43,"Evening Workout",28m,"Pistol Squat",2,0,12,0,0,,,
2024-12-13 18:23:43,"Evening Workout",28m,"Pistol Squat",3,0,13,0,0,,,
2024-12-13 18:23:43,"Evening Workout",28m,"Pistol Squat",4,0,13,0,0,,,
2024-12-13 18:23:43,"Evening Workout",28m,"Glute Ham Raise",1,0,15,0,0,"",,
2024-12-13 18:23:43,"Evening Workout",28m,"Leg Extension (Machine)",1,5.0,12,0,0,"",,
2024-12-13 18:23:43,"Evening Workout",28m,"Leg Extension (Machine)",2,5.0,7,0,0,,,
2024-12-13 18:23:43,"Evening Workout",28m,"Ab Wheel",1,0,18,0,0,"",,
2024-12-13 18:23:43,"Evening Workout",28m,"Ab Wheel",2,0,15,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Pull Up",1,0,10,0,0,"","",
2024-12-14 16:30:10,"Pullups Pushups",41m,"Pull Up",2,0,8,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Pull Up",3,0,9,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Pull Up",4,0,4,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Pull Up",5,0,5,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Pull Up",6,0,8,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Pull Up",7,0,7,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Pull Up",8,0,5,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Pull Up",9,0,8,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Pull Up",10,0,5,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Push Up",1,0,20,0,0,"",,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Push Up",2,0,20,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Push Up",3,0,12,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Push Up",4,0,12,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Push Up",5,0,17,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Push Up",6,0,12,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Triceps Dip",1,0,12,0,0,"",,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Triceps Dip",2,0,12,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Triceps Dip",3,0.0,8,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Ab Wheel",1,0,18,0,0,"",,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Ab Wheel",2,0,15,0,0,,,
2024-12-14 16:30:10,"Pullups Pushups",41m,"Triceps Pushdown (Cable - Straight Bar)",1,7.0,14,0,0,"",,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Pull Up",1,0,13,0,0,"","",
2024-12-15 14:00:00,"Afternoon Workout",1h,"Pull Up",2,0,10,0,0,,,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Pull Up",3,0,12,0,0,,,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Pull Up",4,0,12,0,0,,,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Pull Up",5,0,6,0,0,,,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Squat (Bodyweight)",1,0,50,0,0,"",,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Ab Wheel",1,0,16,0,0,"",,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Push Up",1,0,25,0,0,"",,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Push Up",2,0,15,0,0,,,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Push Up",3,0,15,0,0,,,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Incline Bench Press (Barbell)",1,40.0,10,0,0,"",,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Lateral Raise (Dumbbell)",1,11.0,11,0,0,"",,
2024-12-15 14:00:00,"Afternoon Workout",1h,"Lateral Raise (Dumbbell)",2,11.0,11,0,0,,,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Squat (Bodyweight)",1,0,50,0,0,"","",
2024-12-17 14:17:27,"Afternoon Workout",35m,"Squat (Bodyweight)",2,0,50,0,0,,,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Pull Up",1,0,9,0,0,"",,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Pistol Squat",1,0,13,0,0,"",,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Pistol Squat",2,0,13,0,0,,,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Pistol Squat",3,0,13,0,0,,,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Pistol Squat",4,0,13,0,0,,,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Pistol Squat",5,0,13,0,0,,,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Pistol Squat",6,0,13,0,0,,,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Pistol Squat",7,0,10,0,0,,,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Pistol Squat",8,0,10,0,0,,,
