"Date","Workout.Name","Exercise.Name","Set.Order","Reps","Weight","Workout.Notes","DurationInMinutes","Owner","Body.Part"
"2024-12-10 22:21:00","Evening Workout","Bench Press (Dumbbell)",1,10,22,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Bench Press (Dumbbell)",2,10,32,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Bench Press (Dumbbell)",3,7,34.5,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Bench Press (Dumbbell)",4,9,32,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Chest Fly (Band)",1,10,30,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Chest Fly (Band)",2,10,30,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Chest Fly (Band)",3,8,30,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Incline Bench Press (Dumbbell)",1,10,27,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Incline Bench Press (Dumbbell)",2,7,24.5,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Incline Bench Press (Dumbbell)",3,10,22,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Incline Bench Press (Dumbbell)",4,7,22,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Bench Press (Dumbbell) (Reversed )",1,8,16,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Bench Press (Dumbbell)",2,10,16,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Bench Press (Dumbbell)",3,8,16,NA,51,"Ludwik","Chest"
"2024-12-10 22:21:00","Evening Workout","Triceps Pushdown (Cable - Straight Bar)",1,4,25,NA,51,"Ludwik","Arms"
"2024-12-10 22:21:00","Evening Workout","Triceps Pushdown (Cable - Straight Bar)",2,5,20,NA,51,"Ludwik","Arms"
"2024-12-10 22:21:00","Evening Workout","Triceps Pushdown (Cable - Straight Bar)",3,7,15,NA,51,"Ludwik","Arms"
"2024-12-10 22:21:00","Evening Workout","Triceps Pushdown (Cable - Straight Bar)",4,10,10,NA,51,"Ludwik","Arms"
"2024-12-10 22:21:00","Evening Workout","Triceps Pushdown (Cable - Straight Bar)",5,30,5,NA,51,"Ludwik","Arms"
"2024-12-10 22:21:00","Evening Workout","Triceps Pushdown (Cable - Straight Bar)",6,4,20,NA,51,"Ludwik","Arms"
"2024-12-10 22:21:00","Evening Workout","Triceps Pushdown (Cable - Straight Bar)",7,7,15,NA,51,"Ludwik","Arms"
"2024-12-10 22:21:00","Evening Workout","Triceps Pushdown (Cable - Straight Bar)",8,13,10,NA,51,"Ludwik","Arms"
"2024-12-10 22:21:00","Evening Workout","Triceps Pushdown (Cable - Straight Bar)",9,30,5,NA,51,"Ludwik","Arms"
