DATA, WODA, HERBATA, KAWA, INNE
10.12.2024,1.5,0.75,0.5,0
11.12.2024,1,0.5,0.5,0
12.12.2024,1,0.75,0.5,0.75
13.12.2024,2,1,0.5,0
14.12.2024,2,0,0.25,0
15.12.2024,1,0.5,0.25,0
16.12.2024,1.25,0.75,0.37,0
17.12.2024,1.2,0.75,0.5,0
18.12.2024,1.1,0.5,0.5,0
19.12.2024,1.4,0.75,0.5,0
20.12.2024,1.6,0.5,0.5,0
21.12.2024,1.2,0.25,0.5,0
22.12.2024,1,0.25,0.25,3.5
23.12.2024,2,0,0.25,0
24.12.2024,1,0,0.5,1
25.12.2024,3,0,0.25,0.5
26.12.2024,2,0,0.25,0
27.12.2024,1.5,0.5,0,0.5
28.12.2024,2,0.25,0.75,0.2
29.12.2024,1.5,0.25,0.5,0
30.12.2024,2,0.25,0.5,0
31.12.2024,1,0,0.6,2.5
01.01.2025,2,0.25,0.5,0
02.01.2025,1.5,0.5,0.5,0
03.01.2025,2,0.5,0.5,0
04.01.2025,1.2,1.25,0.5,0.7
05.01.2025,1.5,0.5,0.5,0
06.01.2025,1.3,0.5,0.5,0.25
07.01.2025,1.2,0.75,0.5,0
08.01.2025,1.1,0.5,0.5,0
09.01.2025,1.7,0,0.5,0
10.01.2025,1.6,0,0.5,0
11.01.2025,1.3,0.5,0.3,0.33
12.01.2025,1,0.75,0.5,0
13.01.2025,1.2,1,0.5,0
14.01.2025,1.5,1.25,0.5,0
15.01.2025,1.2,1,0.5,0
16.01.2025,1.6,0.5,0.5,0
17.01.2025,1.3,1,0.5,0.25
18.01.2025,1,1,0.5,0
19.01.2025,1.0,0.5,0.5,0
20.01.2025,1.3,0.5,0.5,0
21.01.2025,1.4,0.5,0.5,0
22.01.2025,1.7,1,0.5,0
23.01.2025,1.3,0.5,0.5,0
