"","steps","caffeineConsumed","AlcoConsumed","trash_food","liquids","day","SymbolImienia","DayOfTheWeek"
"45",5329,FALSE,FALSE,100,2,2024-12-19,"K","Monday"
"46",6586,FALSE,FALSE,620,1.7,2024-12-20,"K","Tuesday"
"47",9223,FALSE,TRUE,1950,3,2024-12-21,"K","Wednesday"
"48",6066,FALSE,FALSE,253,2.2,2024-12-22,"K","Thursday"
"49",4948,FALSE,FALSE,0,1.8,2024-12-23,"K","Friday"
"50",2035,FALSE,FALSE,0,2.8,2024-12-24,"K","Saturday"
"51",5892,FALSE,FALSE,620,2.2,2024-12-25,"K","Sunday"
"52",3950,FALSE,FALSE,0,2,2024-12-26,"K","Monday"
"53",4348,FALSE,FALSE,165,1.8,2024-12-27,"K","Tuesday"
"54",6043,FALSE,FALSE,524,1.8,2024-12-28,"K","Wednesday"
"55",3745,FALSE,FALSE,570,3,2024-12-29,"K","Thursday"
"56",3550,FALSE,FALSE,157,1.8,2024-12-30,"K","Friday"
"57",5032,FALSE,TRUE,1240,4,2024-12-31,"K","Saturday"
"58",4517,FALSE,FALSE,0,1.7,2025-01-01,"K","Sunday"
"59",5882,TRUE,FALSE,1218,2,2025-01-02,"K","Monday"
"60",5098,FALSE,FALSE,0,1.9,2025-01-03,"K","Tuesday"
"61",4513,FALSE,FALSE,0,2.1,2025-01-04,"K","Wednesday"
"62",3401,FALSE,FALSE,1197,2,2025-01-05,"K","Thursday"
"63",2911,FALSE,FALSE,276,1.7,2025-01-06,"K","Friday"
"64",6669,FALSE,FALSE,0,2,2025-01-07,"K","Saturday"
"65",6344,FALSE,FALSE,944,3,2024-12-07,"M","Sunday"
"66",1888,FALSE,FALSE,400,2,2024-12-08,"M","Monday"
"67",3765,FALSE,FALSE,234,2.5,2024-12-09,"M","Tuesday"
"68",12697,FALSE,FALSE,156,3,2024-12-10,"M","Wednesday"
"69",4392,FALSE,FALSE,282,1.75,2024-12-11,"M","Thursday"
"70",5794,FALSE,TRUE,175,2.25,2024-12-12,"M","Friday"
"71",8083,FALSE,FALSE,257,2.5,2024-12-13,"M","Saturday"
"72",10557,FALSE,TRUE,1297,2.25,2024-12-14,"M","Sunday"
"73",1602,FALSE,FALSE,350,2.25,2024-12-15,"M","Monday"
"74",4270,FALSE,FALSE,416,1.25,2024-12-16,"M","Tuesday"
"75",8531,FALSE,FALSE,353,2.25,2024-12-17,"M","Wednesday"
"76",10084,FALSE,FALSE,720,2.25,2024-12-18,"M","Thursday"
"77",9530,FALSE,FALSE,317,3.5,2024-12-19,"M","Friday"
"78",5207,FALSE,FALSE,247,3.25,2024-12-20,"M","Saturday"
"79",342,FALSE,FALSE,0,3,2024-12-21,"M","Sunday"
"80",210,FALSE,FALSE,468,1.5,2024-12-22,"M","Monday"
"81",2281,FALSE,TRUE,629,2,2024-12-23,"M","Tuesday"
"82",572,FALSE,FALSE,70,1.75,2024-12-24,"M","Wednesday"
"83",800,FALSE,TRUE,175,2.5,2024-12-25,"M","Thursday"
"84",2858,FALSE,TRUE,200,2,2024-12-26,"M","Friday"
"85",4230,FALSE,TRUE,1163,3.75,2024-12-27,"M","Saturday"
"86",9371,FALSE,TRUE,1200,3.5,2024-12-28,"M","Sunday"
"87",4220,FALSE,FALSE,309,2.25,2024-12-29,"M","Monday"
"88",4260,FALSE,FALSE,0,2.25,2024-12-30,"M","Tuesday"
"89",3027,FALSE,TRUE,2366,4,2024-12-31,"M","Wednesday"
"90",3210,FALSE,FALSE,166,3,2025-01-01,"M","Thursday"
"91",6906,FALSE,FALSE,361,2.5,2025-01-02,"M","Friday"
"92",11359,FALSE,FALSE,0,2.75,2025-01-03,"M","Saturday"
"93",6724,FALSE,FALSE,0,3,2025-01-04,"M","Sunday"
"94",2865,FALSE,FALSE,157,2.25,2025-01-05,"M","Monday"
"95",197,FALSE,FALSE,347,1.5,2025-01-06,"M","Tuesday"
"96",8450,FALSE,FALSE,487,2.75,2025-01-07,"M","Wednesday"
