Year;Kidney_DD;Kidney_LD;Heart;Liver_DD;Kidney_Pancreas;Lung_LD;Lung_DD;Liver_LD;Liver_Kidney;Heart_Lung;Intestine;Heart_Kidney;Pancreas;Heart_Liver;Lung_Liver;Kidney_Lung;Liver_Pancreas
1966;3;1;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1967;4;2;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1968;7;1;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1969;8;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1970;2;2;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1971;5;5;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1972;3;5;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1973;7;2;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1974;5;1;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1975;8;2;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1976;5;6;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1977;44;3;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1978;46;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1979;39;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1980;49;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1981;40;1;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1982;48;1;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1983;95;5;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1984;130;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1985;143;6;2;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1986;269;6;9;–;–;–;–;–;–;–;–;–;–;–;–;–;–
1987;315;3;23;2;–;–;–;–;–;–;–;–;–;–;–;–;–
1988;292;1;15;–;7;–;–;–;–;–;–;–;–;–;–;–;–
1989;380;3;7;2;–;–;–;–;–;–;–;–;–;–;–;–;–
1990;379;1;29;6;5;–;–;–;–;–;–;–;–;–;–;–;–
1991;354;5;26;8;5;–;–;–;–;–;–;–;–;–;–;–;–
1992;294;6;47;8;11;–;–;–;–;–;–;–;–;–;–;–;–
1993;308;5;47;7;5;–;–;–;–;–;–;–;–;–;–;–;–
1994;335;4;76;9;4;–;–;–;–;–;–;–;–;–;–;–;–
1995;340;8;82;4;1;–;–;–;–;–;–;–;–;–;–;–;–
1996;344;12;72;12;4;1;–;–;–;–;–;–;–;–;–;–;–
1997;515;13;118;19;0;–;1;–;–;–;–;–;–;–;–;–;–
1998;534;9;123;27;5;–;–;–;–;–;–;–;–;–;–;–;–
1999;589;12;119;33;3;–;–;2;–;–;–;–;–;–;–;–;–
2000;778;32;129;61;14;–;–;10;2;–;–;–;–;–;–;–;–
2001;841;36;128;102;17;–;–;15;1;1;1;–;–;–;–;–;–
2002;907;25;108;131;12;–;–;13;2;2;–;1;–;–;–;–;–
2003;979;44;121;151;14;–;1;13;5;1;–;–;–;–;–;–;–
2004;1041;22;104;177;15;–;1;18;4;1;–;–;1;–;–;–;–
2005;1038;29;95;197;22;–;3;13;2;–;–;–;–;–;–;–;–
2006;896;18;95;177;36;–;6;21;3;1;–;–;1;–;–;–;–
2007;648;22;64;174;21;–;7;18;4;–;–;–;–;–;–;–;–
2008;789;20;61;223;20;–;11;21;1;–;–;–;–;–;–;–;–
2009;757;23;71;209;20;–;10;22;5;–;–;–;–;–;–;–;–
2010;947;50;79;215;19;–;12;20;2;–;–;–;1;–;–;–;–
2011;998;40;80;278;33;–;15;18;4;–;–;–;1;–;–;–;–
2012;1091;51;79;309;34;–;16;14;3;–;–;–;9;–;–;–;–
2013;1074;57;87;316;29;–;17;18;2;–;–;–;3;–;–;–;–
2014;1065;55;76;335;28;–;19;30;1;–;–;–;9;–;–;–;–
2015;951;60;99;304;29;–;24;22;6;–;–;–;12;–;–;–;–
2016;975;50;101;314;31;–;35;28;3;–;–;–;7;–;–;–;–
2017;999;56;97;345;30;–;39;24;4;–;–;1;11;–;–;–;–
2018;881;40;145;288;19;–;43;22;5;–;–;1;1;1;–;–;–
2019;902;52;142;321;24;–;57;21;5;–;–;–;5;4;1;–;–
2020;714;31;145;260;3;–;51;28;3;–;–;–;1;–;–;–;–
2021;705;44;200;273;17;–;67;20;3;–;–;–;2;–;–;1;1
2022;777;73;171;329;18;–;92;28;5;1;–;1;–;–;–;–;–
2023;963;78;175;502;24;–;97;27;5;1;–;4;4;2;–;1;–
