"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity)","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) lower 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) upper 95% uncertainty interval","Proportion of double burden from obesity","Proportion of double burden from obesity lower 95% uncertainty interval","Proportion of double burden from obesity upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1990,"Women","Poland","POL",0.034150619846334995,0.02433287516901057,0.04567841915880838,0.1718952253811738,0.15100212646763742,0.19458898152779086,0.2060458452275088,0.1822995133564316,0.2307897480379679,0.7427324575091394,0.6946183177818225,0.7893926861512746,0.0840641633474075,0.06924646126737528,0.09969944479365413,0.4206960152391218,0.3922037921180967,0.44933486231225445,0.2891939741859619,0.26200515623077486,0.3171051084263866,0.12362095723832933,0.10388888121492508,0.14492682736588525,0.03810787442752212,0.029156098872221564,0.04841757020105585,0.010166393715322358,0.006929082490342536,0.01437027391137704
1991,"Women","Poland","POL",0.03487150365535337,0.025484938788950175,0.0459189841193751,0.1718475951312178,0.15202555433344392,0.19360917309848033,0.20671909878657113,0.18419195108720665,0.22972220652127232,0.7407309343776266,0.6956472386305299,0.7854343780295168,0.08403827648771749,0.06992933786629407,0.09866857652740407,0.4211579305318405,0.3942276017932398,0.44839744516258745,0.2880846921938709,0.26219394102394517,0.3146045009981324,0.12362271992233342,0.10479426510743982,0.1438860495491433,0.037946330437310355,0.029378963746205456,0.04759467571353672,0.01027854477157402,0.007166296653157778,0.014210394387995009
1992,"Women","Poland","POL",0.03555822097342543,0.026385370884630447,0.04621262071086935,0.1719182449726234,0.1529645899010949,0.19230070232068033,0.2074764659460488,0.186283136261377,0.22897160124155808,0.7390397638863226,0.696711670412283,0.7817478883714835,0.08395123251734711,0.07066276967067636,0.09760000570422936,0.4214930862604571,0.39590747769097034,0.44739820024756233,0.28707921327614694,0.2624206030727358,0.3121584999967327,0.12369984724064027,0.10583656313824769,0.14325605314623394,0.037821124311680804,0.02966628704867491,0.04702051233093768,0.010397273420302324,0.007378822671849587,0.014166467665115241
1993,"Women","Poland","POL",0.03619931706496034,0.02732076764661065,0.04646630999117013,0.17210961028423172,0.15407925031756084,0.19155443186645563,0.20830892734919204,0.18788150392793168,0.228810001859208,0.7376926171059052,0.6976162033126705,0.7785314632333297,0.08379519806786756,0.07117332113139638,0.09673005950693567,0.42171613040814476,0.39745497369688876,0.4466921811987079,0.28617974217479564,0.2627901529561065,0.30971659461497847,0.12384606641614854,0.10671974160543254,0.14220200760673352,0.03774596028072025,0.03003302917214859,0.04657888517830809,0.010517583587362917,0.007583429354809568,0.01411756311983966
1994,"Women","Poland","POL",0.03677219353987841,0.028237412708957535,0.046642944989737645,0.17246695008901383,0.15491516186354334,0.19071788402822462,0.20923914362889223,0.18954516075422753,0.2288419414431577,0.7367987702448334,0.698569397389252,0.7759016216347722,0.08358751187505417,0.07168303782289014,0.09610242378203677,0.4217540460492854,0.3989451066422959,0.4453410276294235,0.2854192964467682,0.2632434240630299,0.3079288993931738,0.12408095090397009,0.10762861935557926,0.1411825316798479,0.0377371491753405,0.030369497056261033,0.04617817656710379,0.01064885000970326,0.0077841261782158055,0.014153225960739096
1995,"Women","Poland","POL",0.03726491372845175,0.02896517536009622,0.04661394269811278,0.17302139434936845,0.15626802331831585,0.190140342461091,0.2102863080778202,0.19152127494891172,0.22914420773051788,0.7364247342767943,0.7005476589218166,0.7737859456999132,0.08330716386606588,0.07193842460005635,0.09513334677524134,0.421602471385189,0.4000352030873223,0.4437323408146943,0.28480405467092484,0.26375485024951606,0.30639664852642534,0.12442225683919758,0.10853927183301902,0.14078595161923996,0.0378042614096281,0.030876616297604784,0.045869401108271826,0.010794876100542744,0.007983929943903081,0.014194672093570358
1996,"Women","Poland","POL",0.037665644666559334,0.029793902442747742,0.04654180527764489,0.1738209046720495,0.157711190679641,0.19012918631835776,0.21148654933860883,0.19350170193742147,0.22941266035895655,0.7366505445285925,0.7019714513979661,0.7712991258005784,0.08295109284724375,0.07218763269498289,0.0941128477442586,0.4212334339449936,0.4006620339917284,0.4422213719510587,0.2843289218691538,0.2643256283894557,0.30467288531904124,0.12491220791022024,0.10977939599167666,0.1403812693068206,0.03794788307919276,0.03105458066130756,0.045508251102572304,0.010960813682636503,0.008167971416475522,0.014285586854396593
1997,"Women","Poland","POL",0.037967040307646624,0.030477633389669377,0.04645188408155988,0.1749436130158058,0.15956530827582124,0.19048335193769192,0.21291065332345244,0.19604369287147866,0.23016138367982383,0.7375666937529297,0.7041617114527149,0.7700549532563354,0.08250248393700571,0.07243535090962606,0.09309888325906245,0.4205934038927037,0.4008524795738469,0.44064113632863994,0.28399345684683813,0.2648620963078754,0.303047634365304,0.1256063838942819,0.11121910801586118,0.1398724453962075,0.03818282770243327,0.031652830776153495,0.04545679398595893,0.011154401419090665,0.008422629252061622,0.014451975703970287
1998,"Women","Poland","POL",0.0381676324217589,0.030959775435578187,0.04620579506944794,0.17637990641404616,0.16182665724731943,0.19117183075053965,0.21454753883580507,0.19851483438437575,0.23111926056268095,0.7391482268485319,0.7077169001895292,0.7701150955288179,0.08197050673099353,0.0724518848658933,0.09181181769858913,0.4196577177859843,0.40100399005381687,0.43876477946459497,0.28382423464721707,0.2657127977717599,0.30172102971277787,0.12648263125154552,0.11262639234602466,0.140047956032579,0.038515619164745975,0.03226467252357319,0.045445236520470174,0.011381655997754677,0.00871523120844373,0.014549484775199668
1999,"Women","Poland","POL",0.03827515139777336,0.03143201158136078,0.04584245514215257,0.1781220004419085,0.16441004076336377,0.1919399981029759,0.21639715183968186,0.20136740488008353,0.23214795463688187,0.7413527922746119,0.7118228571783483,0.7706029747714211,0.08135031861669952,0.07236249543852734,0.09058668133737814,0.4184153655524352,0.4009999686554039,0.4363950863884019,0.2838371619911834,0.2668120914303159,0.30062791520202076,0.12754171297098907,0.11490774231332619,0.14046369740884476,0.038935374073250595,0.033019434036359936,0.04552201541798128,0.011644913397668847,0.009012626954673187,0.014802831745282454
