Wojewodztwo,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
dolnośląskie,727424,714465,704774,699547,694625,689121,691573,685942,678798,670530
kujawsko-pomorskie,574317,562534,552657,545788,537888,530357,515984,510035,503573,496133
lubelskie,590723,576952,564350,553465,543787,534553,523829,516888,509061,500300
lubuskie,275691,270365,266349,263150,259606,256305,248719,245726,242719,239420
łódzkie,632019,620836,610626,602657,595151,587306,575691,569603,563401,556487
małopolskie,953672,937707,925477,918218,912262,908413,919746,913480,905806,896937
mazowieckie,1422986,1411991,1405329,1405471,1406623,1409072,1440177,1436006,1430189,1422237
opolskie,248124,241425,235787,232375,228643,225329,220512,218182,215614,212719
podkarpackie,610328,596398,583619,573530,565718,558124,553943,548152,541615,533652
podlaskie,324302,316724,310164,304840,300012,295690,292520,289613,286197,282493
pomorskie,652430,643836,637903,635734,634445,634679,636297,633825,629142,624222
śląskie,1145025,1124068,1106402,1095226,1084316,1073294,1046716,1036743,1025879,1013106
świętokrzyskie,329961,322106,314621,307742,301632,295460,286681,282665,278284,273216
warmińsko-mazurskie,408320,398756,390253,384060,377068,370588,356100,351239,346202,340478
wielkopolskie,979669,964615,953261,947280,941389,936763,939839,934147,925827,916076
zachodniopomorskie,449965,440785,433559,427602,420947,414422,398684,394392,389578,384449
