"voivodeship","year","abandonned","births","abandonned_per_100k"
"Dolnośląskie",2007,81,27591,294
"Dolnośląskie",2008,88,29847,295
"Dolnośląskie",2009,86,29826,288
"Dolnośląskie",2010,93,29549,315
"Dolnośląskie",2011,84,27660,304
"Dolnośląskie",2012,164,27239,602
"Dolnośląskie",2013,103,25805,399
"Dolnośląskie",2014,79,27174,291
"Dolnośląskie",2015,102,26258,388
"Dolnośląskie",2016,112,27452,408
"Dolnośląskie",2017,89,28401,313
"Dolnośląskie",2018,80,27790,288
"Dolnośląskie",2019,85,26922,316
"Dolnośląskie",2020,100,25713,389
"Dolnośląskie",2021,89,24431,364
"Dolnośląskie",2022,95,22727,418
"Dolnośląskie",2023,118,19524,604
"Kujawsko-Pomorskie",2007,48,21814,220
"Kujawsko-Pomorskie",2008,52,23253,224
"Kujawsko-Pomorskie",2009,40,23059,173
"Kujawsko-Pomorskie",2010,58,22596,257
"Kujawsko-Pomorskie",2011,37,20971,176
"Kujawsko-Pomorskie",2012,51,20764,246
"Kujawsko-Pomorskie",2013,41,19853,207
"Kujawsko-Pomorskie",2014,58,20031,290
"Kujawsko-Pomorskie",2015,36,19190,188
"Kujawsko-Pomorskie",2016,28,19840,141
"Kujawsko-Pomorskie",2017,29,20900,139
"Kujawsko-Pomorskie",2018,43,19866,216
"Kujawsko-Pomorskie",2019,47,19342,243
"Kujawsko-Pomorskie",2020,44,18013,244
"Kujawsko-Pomorskie",2021,46,16709,275
"Kujawsko-Pomorskie",2022,43,15061,286
"Kujawsko-Pomorskie",2023,33,13522,244
"Lubelskie",2007,30,21795,138
"Lubelskie",2008,28,23009,122
"Lubelskie",2009,27,22964,118
"Lubelskie",2010,24,22635,106
"Lubelskie",2011,22,21363,103
"Lubelskie",2012,46,21214,217
"Lubelskie",2013,46,19738,233
"Lubelskie",2014,26,19828,131
"Lubelskie",2015,27,19715,137
"Lubelskie",2016,16,19666,81
"Lubelskie",2017,14,20898,67
"Lubelskie",2018,13,20101,65
"Lubelskie",2019,7,19286,36
"Lubelskie",2020,19,18034,105
"Lubelskie",2021,11,16641,66
"Lubelskie",2022,11,15218,72
"Lubelskie",2023,19,13492,141
"Lubuskie",2007,34,10796,315
"Lubuskie",2008,50,11351,440
"Lubuskie",2009,34,11499,296
"Lubuskie",2010,39,10939,357
"Lubuskie",2011,35,10421,336
"Lubuskie",2012,31,10367,299
"Lubuskie",2013,33,9737,339
"Lubuskie",2014,38,9716,391
"Lubuskie",2015,45,9420,478
"Lubuskie",2016,25,9734,257
"Lubuskie",2017,15,10300,146
"Lubuskie",2018,19,9467,201
"Lubuskie",2019,42,9036,465
"Lubuskie",2020,24,8634,278
"Lubuskie",2021,20,7925,252
"Lubuskie",2022,38,7090,536
"Lubuskie",2023,43,6499,662
"Mazowieckie",2007,110,55140,199
"Mazowieckie",2008,91,58714,155
"Mazowieckie",2009,93,59841,155
"Mazowieckie",2010,90,60756,148
"Mazowieckie",2011,125,57258,218
"Mazowieckie",2012,122,57281,213
"Mazowieckie",2013,151,55400,273
"Mazowieckie",2014,98,57139,172
"Mazowieckie",2015,89,57456,155
"Mazowieckie",2016,56,59586,94
"Mazowieckie",2017,79,61850,128
"Mazowieckie",2018,45,60485,74
"Mazowieckie",2019,88,59577,148
"Mazowieckie",2020,55,56719,97
"Mazowieckie",2021,130,53938,241
"Mazowieckie",2022,15,50249,30
"Mazowieckie",2023,13,44903,29
"Małopolskie",2007,70,34071,205
"Małopolskie",2008,58,36852,157
"Małopolskie",2009,53,37286,142
"Małopolskie",2010,72,37049,194
"Małopolskie",2011,42,35524,118
"Małopolskie",2012,52,35117,148
"Małopolskie",2013,49,34307,143
"Małopolskie",2014,57,34419,166
"Małopolskie",2015,69,34721,199
"Małopolskie",2016,49,36331,135
"Małopolskie",2017,38,38161,100
"Małopolskie",2018,31,37864,82
"Małopolskie",2019,34,36946,92
"Małopolskie",2020,31,35360,88
"Małopolskie",2021,38,33285,114
"Małopolskie",2022,35,31082,113
"Małopolskie",2023,41,28323,145
"Opolskie",2007,17,8493,200
"Opolskie",2008,12,9177,131
"Opolskie",2009,22,9280,237
"Opolskie",2010,26,9163,284
"Opolskie",2011,18,8686,207
"Opolskie",2012,28,8939,313
"Opolskie",2013,20,8227,243
"Opolskie",2014,23,8593,268
"Opolskie",2015,24,8289,290
"Opolskie",2016,12,8634,139
"Opolskie",2017,18,9083,198
"Opolskie",2018,23,8596,268
"Opolskie",2019,13,8493,153
"Opolskie",2020,10,7951,126
"Opolskie",2021,13,7285,178
"Opolskie",2022,17,6788,250
"Opolskie",2023,9,6177,146
"Podkarpackie",2007,8,20967,38
"Podkarpackie",2008,5,22224,22
"Podkarpackie",2009,3,22368,13
"Podkarpackie",2010,5,21990,23
"Podkarpackie",2011,13,21130,62
"Podkarpackie",2012,7,21064,33
"Podkarpackie",2013,17,20373,83
"Podkarpackie",2014,8,19953,40
"Podkarpackie",2015,9,19566,46
"Podkarpackie",2016,4,20262,20
"Podkarpackie",2017,5,21927,23
"Podkarpackie",2018,7,21533,33
"Podkarpackie",2019,1,20613,5
"Podkarpackie",2020,3,19580,15
"Podkarpackie",2021,6,17929,33
"Podkarpackie",2022,1,16812,6
"Podkarpackie",2023,3,14877,20
"Podlaskie",2007,13,11196,116
"Podlaskie",2008,17,11945,142
"Podlaskie",2009,20,12202,164
"Podlaskie",2010,9,11928,75
"Podlaskie",2011,8,11155,72
"Podlaskie",2012,17,11161,152
"Podlaskie",2013,9,10619,85
"Podlaskie",2014,24,11029,218
"Podlaskie",2015,5,10825,46
"Podlaskie",2016,12,11373,106
"Podlaskie",2017,4,12054,33
"Podlaskie",2018,6,11790,51
"Podlaskie",2019,0,11342,0
"Podlaskie",2020,3,10557,28
"Podlaskie",2021,15,10112,148
"Podlaskie",2022,16,9150,175
"Podlaskie",2023,21,8280,254
"Polska",2007,720,387873,186
"Polska",2008,775,414499,187
"Polska",2009,726,417589,174
"Polska",2010,798,413300,193
"Polska",2011,765,388416,197
