"author","coauthor","count"
"Biecek P","Wróblewska A",2
"Dembińska A","Wesołowski J",1
"Domitrz W","Janeczko S",4
"Dębski M","Grytczuk J",8
"Dębski M","Lonc Z",7
"Dębski M","Okrasa K",1
"Dębski M","Rzążewski P",7
"Ganzha M","Mańdziuk J",1
"Ganzha M","Paprzycki M",56
"Ganzha M","Wróblewska A",3
"Grytczuk J","Dębski M",8
"Grytczuk J","Lonc Z",1
"Grytczuk J","Rzążewski P",2
"Grzegorzewski P","Gągolewski M",7
"Grzenda M","Luckner M",8
"Grzenda M","Mańdziuk J",1
"Gągolewski M","Grzegorzewski P",7
"Homenda W","Jastrzębska A",21
"Janeczko S","Domitrz W",4
"Jastrzębska A","Homenda W",21
"Lonc Z","Dębski M",7
"Lonc Z","Grytczuk J",1
"Lonc Z","Okrasa K",1
"Lonc Z","Rzążewski P",7
"Luckner M","Grzenda M",8
"Luckner M","Mańdziuk J",1
"Mańdziuk J","Ganzha M",1
"Mańdziuk J","Grzenda M",1
"Mańdziuk J","Luckner M",1
"Mańdziuk J","Paprzycki M",1
"Mańdziuk J","Żychowski A",22
"Okrasa K","Dębski M",1
"Okrasa K","Lonc Z",1
"Okrasa K","Pilipczuk M",5
"Okrasa K","Rzążewski P",16
"Paprzycki M","Ganzha M",56
"Paprzycki M","Mańdziuk J",1
"Paprzycki M","Wróblewska A",2
"Pilipczuk M","Okrasa K",5
"Pilipczuk M","Rzążewski P",21
"Pilitowska A","Romanowska A",5
"Romanowska A","Pilitowska A",5
"Rzążewski P","Dębski M",7
"Rzążewski P","Grytczuk J",2
"Rzążewski P","Lonc Z",7
"Rzążewski P","Okrasa K",16
"Rzążewski P","Pilipczuk M",21
"Wesołowski J","Dembińska A",1
"Wróblewska A","Biecek P",2
"Wróblewska A","Ganzha M",3
"Wróblewska A","Paprzycki M",2
"Żychowski A","Mańdziuk J",22
