"placeID","name","category"
"ChIJY7ccMfLMHkcRmsnIs8KBz7E","QQ Warsaw","restaurants"
"ChIJY9PAUu_MHkcRgJYZMcuVBFA","Lubaszka","restaurants"
"ChIJZ9N2ps_MHkcR3SFGntRNiKY","Gmach Stary Technologiczny","university"
"ChIJZSi2aP3MHkcRxwuAjyIXQ7M","Kawiarnia Muranów","restaurants"
"ChIJ_SJ_NdvMHkcRZdYYXWD2Q7E","Metro Pole Mokotowskie","transport"
"ChIJ_UxgRovLHkcR0LnAQ5VMb54","Kawiarnia Fawory","restaurants"
"ChIJ_fyXfy_KHkcR8YC0BTGboXE","bus_stop1","transport"
"ChIJaw-Ywo7MHkcRLieMmK78fRc","Metro Rondo ONZ","transport"
"ChIJbTQqf_bMHkcRn_F3Rka5SfQ","Pizza by Slice","restaurants"
"ChIJcxMDRUrTG0cRn1etGLGTsyw","Działka","home"
"ChIJcyc6oJL6PEcRUHBmt-_0hVM","","entertainment"
"ChIJczXTyejMHkcRlFOlBxD9hFI","Xero-druk","shopping"
"ChIJf4EALRzLHkcRjl5zjQBeHGY","Lidl","shopping"
"ChIJfYyGRczLHkcRCXFxcvgdXS8","Las Kawiarnia","restaurants"
"ChIJfyLKjezMHkcRkCcjAX1i2Xc","Przystanek Koszykowa","transport"
"ChIJg--Tk9gyGUcRg9FNyP4xV8s","Kino","entertainment"
"ChIJgU4sC8cJ80cRJ5AR6zA94mk","Dom Rodzinny","home"
"ChIJgx3V0_bMHkcRKdo30gasVwk","Muji","shopping"
"ChIJh5dJ3DEzGUcRDeoctCSY8T4","Dom kol","entertainment"
"ChIJh8cbGsEtGUcRg08hvPsBltA","Loop Fitness","entertainment"
"ChIJhfhuPlP7PEcRARuQ2yK2lIk","Lidl","shopping"
"ChIJhyCNaz7MHkcRfJL7bpYY5A8","Dom kol 2","home"
"ChIJi-i86R3LHkcRrCRK3_Gj8e0","Przystanek Tramwajowy","transport"
"ChIJi1Ksq-jMHkcRKeEbJ6EHbRo","Cafe Forum","restaurants"
"ChIJi2ZA6MvNHkcRxgDsH39QKis","G-Ramen Kikuyu","restaurants"
"ChIJi2tvd_DMHkcROtlyNWVaMdE","Fryzjer","entertainment"
"ChIJix7ahIHNHkcRPMe-4fOX6cg","El Cafetero","restaurants"
"ChIJj3gCKarxmEcRRqc7hpcSuNQ","Hotel","home"
"ChIJj5eyKhrNHkcRNt1ub9V_90g","Armand","restaurants"
"ChIJjx5w448yGUcRV6ZM2_VdJ8M","Biedronka (Stoklosy)","shopping"
