placeID,name,category
ChIJTeWAPIzMHkcRXOfYhMkscBI,Carrefour,shopping
ChIJ1Q2PpY3MHkcRHrorSFhMgl4,Kino,entertainment
ChIJm5QPjvXMHkcR5k9SNsdalN4,Kawiarnia Nowy Świat,restaurants
ChIJPU8lh9PHGEcRkvkTkSA74gg,Lump Garwolin,shopping
ChIJy0GkjZgrGUcR71OfCIsukDk,Lump Otwock,shopping
ChIJEX6U780rGUcR2OWIUA1J4Nc,McDonald,restaurants
ChIJWTUjZY3MHkcR2U7HZ_LJC-s,Dworzec Centralny,transport
ChIJZSi2aP3MHkcRxwuAjyIXQ7M,Kawiarnia Muranów,restaurants
ChIJ249xMY3MHkcRkGgnFhTHz4g,Warszawa Śródmieście,transport
ChIJKS8BRLPNHkcRxeoTK8N8CyU,Jassmine,entertainment
ChIJOc0CZg3NHkcReDz4rvuDHvE,hotel,home
ChIJDVkhKfTMHkcRVqqUTDuj2uE,In Side,restaurants
ChIJbTQqf_bMHkcRn_F3Rka5SfQ,Pizza by Slice,restaurants
ChIJj5eyKhrNHkcRNt1ub9V_90g,Armand,restaurants
ChIJi2tvd_DMHkcROtlyNWVaMdE,Fryzjer,entertainment
ChIJ-8edLljMHkcR-KqS_kd_4GE,Świetlica,restaurants
ChIJMxeG4orMHkcRh8fqCO60lb4,Metro Świętokrzyska,transport
ChIJCzYm5OXMHkcRaQAxHmWQ8Z0,Plan B,restaurants
ChIJRymMjtHLHkcR6QpW2NlHH5A,Dom kol 3,entertainment
ChIJi-i86R3LHkcRrCRK3_Gj8e0,Przystanek Tramwajowy,transport
ChIJSS5pkozMHkcRwi0fMeV66cI,Kinoteka PKIN,entertainment
ChIJi2ZA6MvNHkcRxgDsH39QKis,G-Ramen Kikuyu,restaurants
ChIJzVd-refMHkcRnPtRuz9z264,Mod,restaurants
ChIJI224g1_MHkcRTziMWjko1nw,Metro Nowy Świat,transport
ChIJOUau4A_LHkcRkPanDAKXNWg,Auchan,shopping
ChIJCa_r4Q_LHkcRtI1qxhpQPEU,Kino Wola Park,entertainment
ChIJv9rU8xTNHkcRnbkBic0KO3I,Coffedesk Wilcza,restaurants
ChIJT2JZBrXNHkcRddoMSrO3sHs,k-bar,restaurants
ChIJEWlPLCvKHkcR8tvl1TEty8M,Las bielański,entertainment
ChIJR-Jr_dtg_UYRecIf97ahsmE,Galeria pod kosciolem,entertainment
ChIJfYyGRczLHkcRCXFxcvgdXS8,Las Kawiarnia,restaurants
ChIJyX8PvNzLHkcRQJ1NA5O5Osg,Stare Bielany,entertainment
ChIJaw-Ywo7MHkcRLieMmK78fRc,Metro Rondo ONZ,transport
ChIJM2YI3mbMHkcRIun7sNWgzcg,Nero Stare Miasto,restaurants
ChIJr_-OK34HbUcRZxpLwIGr0P0,Wieden Kawiarnia,restaurants
ChIJH7HkCoTJHkcR4ykwEnHNRyQ,Dom kolegi,home
ChIJ0bpRKvwGbUcRaK9a9lZu1fI,Mieszkanie kolegi,entertainment
ChIJfUKmznSobUcRhSONpphi5jo,Palac Schonbrunn, entertainment
ChIJ3wYgv5kHbUcRX0LEFIAWhYY,Hofburg,entertainment
ChIJVzH__ebMHkcRheabIiwiDPI,Bar Swietlica,entertainment
ChIJGZJ3hXsHbUcRoSEOdidtTe8,Rennweg Station,transport
ChIJn4Q4zGrLHkcRhsxqATdHRyM,WAT,university
ChIJj10_up0HbUcRniqFMP0MmME,1516 Brewing Company,restaurants
ChIJHzfP-9AHbUcRzPsWSAXHdNE,Bar Philosoph,restaurants
ChIJ5eU-1AqobUcRLHwJ_LuNqM0,Park Schonbrunn,entertainment
ChIJf4_SAIQHbUcRfrPx69pVVaU,Fiero Restaurant,restaurants
ChIJ_ZkAYZ0HbUcR74X5wovq_fE,Kawiarnia Wiedenska,restaurants
ChIJ41zpQhwzGUcR0ehDaKL1xSI,Lotnisko Chopina,transport
ChIJ_f28ImQHbUcRwDifilghy90,Hotel w Wiedniu,entertainment
ChIJdWDYUZoHbUcRTq4MHzRMp2s,Park przy Hofburgu,entertainment
ChIJQ5U7zWIHbUcRGl-RtIIbjn4,Belweder,entertainment
ChIJI85wbpwHbUcRiJL_xm_zLE4,Cafe Sacher Wien,restaurants
ChIJE_jm9AHNHkcRA2nt41RWBqA,Zabka,shopping
ChIJUU071tupbUcRyFdx20Nwgqg,Wien Bannhof,transport
ChIJualQc5wHbUcRrzBxds3JZ7I,TUW,university
ChIJlfzKNwSobUcR144ObzzlhfM,Technische Musueum,entertainment
ChIJ8cYmWlzMHkcR8Me3vLWkPYA,BUW,university
ChIJPU4FiaEHbUcRFFyMUpNiapM,Bar w Wiedniu,restaurants
ChIJvwxZQ2QHbUcRb4Oi-KV0oMY,Hotel Enzienna,home
ChIJ3b4effPMHkcRkExradLGdhw,Cukiernia,entertainment
ChIJIYudCacHbUcRzr6YiaOaoyo,Kebab w Wiedniu,restaurants
ChIJhz6foGYHbUcReGbUCLx_if8,TUW CS, university
ChIJZV81h-jMHkcRFp6pneXHQcY,Metro Politechnika, transport
ChIJhVL4alzMHkcRKga7oYwiso4,Biblioteka UW,university
ChIJB7gMhfbMHkcRvDVORamNJmM,In Side Pub,restaurants
ChIJ_YHCiaIHbUcRM7HPfSBZcfc,Plac w Wiedniu,entertainment
ChIJ1b8dhpwHbUcRVn03JY0mWf0,Filharmonia Wiedenska,entertainment
