country,Przyrost_naturalny_2005_2010,Przyrost_naturalny_2010_2015,Przyrost_naturalny_2015_2020
 Mozambique,2.93,2.91,2.86
 Namibia,1.34,2.20,2.12
 Nauru,-0.18,2.32,-0.06
 Nepal,1.05,1.17,1.09
 Netherlands,0.36,0.30,0.29
 New Zealand,1.10,1.09,0.93
 Nicaragua,1.29,1.17,1.07
 Niger,3.75,3.84,3.81
 Nigeria,2.64,2.67,2.58
 North Macedonia,0.10,0.08,0.08
 Norway,1.07,1.25,0.94
 Oman,3.83,6.45,4.08
 Pakistan,2.05,2.09,1.91
 Palau,0.56,0.79,1.06
 Panama,1.80,1.71,1.55
 Papua New Guinea,2.37,2.16,2.01
 Paraguay,1.38,1.34,1.25
 Peru,1.24,1.32,1.20
 Philippines,1.66,1.64,1.51
 Poland,-0.02,-0.03,-0.17
 Portugal,0.16,-0.44,-0.39
 Qatar,14.93,6.65,2.36
 Romania,-0.95,-0.56,-0.50
 Russia,-0.07,0.04,0.01
 Rwanda,2.61,2.53,2.36
 Saint Kitts and Nevis,1.13,1.08,0.91
 Saint Lucia,1.06,0.53,0.45
 Saint Vincent and the Grenadines,0.10,0.03,0.24
 Samoa,0.69,0.80,0.65
 San Marino,1.24,1.16,0.51
 São Tomé and Príncipe,2.32,2.25,2.18
 Saudi Arabia,2.75,2.81,1.90
 Senegal,2.76,2.96,2.77
 Serbia,-0.41,-0.40,-0.34
 Seychelles,0.59,0.50,0.50
 Sierra Leone,2.65,2.28,2.12
 Singapore,2.44,1.74,1.40
 Slovakia,0.02,0.13,0.04
 Slovenia,0.48,0.29,0.07
 Solomon Islands,2.32,2.14,1.94
 Somalia,2.93,2.86,2.93
 South Africa,1.10,1.39,1.20
 South Sudan,4.33,3.32,2.72
 Spain,1.21,-0.17,0.03
 Sri Lanka,0.68,0.50,0.35
 Sudan,2.13,2.34,2.38
 Suriname,1.06,1.01,0.87
 Sweden,0.76,0.78,0.72
 Switzerland,1.11,1.21,0.83
 Syria,2.78,-2.30,0.20
 Taiwan,0.44,0.33,0.28
 Tajikistan,2.18,2.24,2.06
 Tanzania,3.14,3.12,3.06
 Thailand,0.54,0.43,0.22
 East Timor,1.56,2.24,2.14
 Togo,2.70,2.63,2.45
 Tonga,0.60,0.42,0.86
 Trinidad and Tobago,0.48,0.48,0.26
 Tunisia,1.04,1.16,1.09
 Turkey,1.26,1.58,1.37
 Turkmenistan,1.35,1.80,1.61
 Tuvalu,0.99,0.87,0.88
 Uganda,3.45,3.37,3.23
 Ukraine,-0.48,-0.50,-0.49
 United Arab Emirates,11.82,2.03,1.39
 United Kingdom,0.98,0.65,0.58
 United States,0.90,0.72,0.71
 Uruguay,0.29,0.34,0.36
 Uzbekistan,1.52,1.59,1.41
 Vanuatu,2.42,2.26,2.10
 Vatican City,0.03,0.03,0.08
 Venezuela,1.61,1.41,1.26
 Vietnam,0.96,1.12,1.00
 Western Sahara,1.87,1.83,2.54
 Yemen,2.74,2.62,2.33
 Zambia,2.78,3.01,2.97
 Zimbabwe,1.70,2.27,2.28
 Anguilla,1.71,1.19,
 Aruba,0.31,0.45,
 Bermuda,-0.36,-0.62,
 Caribbean Netherlands,7.49,3.43,
 Cayman Islands,2.65,1.55,
 Channel Islands (UK)[e],0.67,0.51,
 Christmas Island,,,
 Cook Islands,0.89,0.53,
 Curaçao,2.63,1.26,
 Faroe Islands,-0.59,0.33,
 Falkland Islands,0.10,-0.15,
 Gibraltar,1.11,0.94,
 Greenland,-0.14,-0.13,
 Guadeloupe,0.27,0.50,
 Guam,0.13,1.27,
 French Guiana,2.78,2.78,
 Hong Kong,0.44,0.83,
 Isle of Man,0.97,0.80,
 Kosovo,,,
 Macau,2.66,1.89,
 Martinique,-0.12,0.09,
 Mayotte,3.17,2.79,
 Montserrat,0.72,0.68,
 New Caledonia,1.49,1.32,
 Niue,-0.79,-0.14,
 Norfolk Island,0.01,,
 Northern Mariana Islands,-3.57,0.44,
 Pitcairn Islands,,,
 French Polynesia,1.01,1.07,
 Puerto Rico,-0.28,-0.14,
 Réunion,0.96,0.73,
 Saint Helena and Dependencies,-0.48,-1.04,
 Saint Pierre and Miquelon,0.05,0.05,
 American Samoa,-1.21,-0.04,
 Sint Maarten,0.36,3.13,
 Svalbard,,,
 Tokelau,-1.28,1.93,
 Turks and Caicos Islands,3.17,2.05,
 British Virgin Islands,3.23,2.02,
 U.S. Virgin Islands,-0.26,-0.02,
 Wallis and Futuna,-0.98,-0.62,
 West Bank,,,
 Gaza Strip,,,
 Palestine,,,
