"country","WineConsumption_WineConsumptionPerCapita_2022","WineConsumption_AnnualWineConsumption_2022","WineConsumption_WineConsumptionPerCapita_2021","WineConsumption_AnnualWineConsumption_2021","WineConsumption_WineConsumptionPerCapita_2020","WineConsumption_AnnualWineConsumption_2020"
"India",,7,,5,,2
"China",1.51,2151,1.57,2236,1.71,2432
"United States",9.27,3138,9.1,3066,7.83,2629
"Indonesia",0.01,4,0.01,3,0.01,3
"Nigeria",0.13,28,0.16,35,0.11,23
"Brazil",2.12,457,2.29,491,2.19,467
"Russia",6.54,947,7.54,1094,7.31,1064
"Ethiopia",0.01,1,,1,0.01,1
"Mexico",0.13,17,0.1,13,0.07,9
"Japan",2.61,324,2.42,302,2.76,345
"Egypt",0.05,5,0.05,5,0.04,5
"Philippines",0.15,18,0.13,15,0.08,9
"DR Congo",0.08,8,0.04,4,0.02,2
"Vietnam",0.29,28,0.11,11,0.12,12
"Turkey",0.91,78,1.18,100,3.66,308
"Germany",17.28,1441,18,1502,18.08,1507
"Thailand",0.06,4,0.02,2,0.03,2
"United Kingdom",19.4,1310,20.15,1355,21.02,1409
"Tanzania",0.11,7,0.11,7,0.09,6
"France",42.81,2766,32.21,2078,42.1,2715
"South Africa",3.03,182,2.84,169,4.1,241
"Italy",39.24,2317,41.89,2481,42.11,2506
"Kenya",0.17,9,0.16,8,0.15,8
"Myanmar",0.03,2,0.04,2,0.05,3
"Colombia",0.72,38,0.58,30,0.52,27
"South Korea",1.36,70,1.41,73,1.07,56
"Uganda",0.07,3,0.09,4,0.06,3
"Spain",19.59,932,18.44,876,31.76,1504
"Algeria",0.27,12,0.31,14,0.12,5
"Iraq",0.02,1,0.02,1,0.01,
"Argentina",18.64,848,20.34,921,15.49,698
"Canada",7.13,274,7.39,282,9.49,359
"Poland",5.04,201,4.9,188,4.29,165
"Morocco",1.33,50,1.15,42,1.15,42
"Angola",1.21,43,0.73,25,0.87,29
"Ukraine",2.1,83,3.08,134,2.69,118
"Uzbekistan",0.33,11,0.44,15,0.54,18
"Malaysia",0.85,29,0.53,18,0.22,7
"Mozambique",0.14,4,0.19,6,,
"Ghana",0.71,24,0.42,14,0.39,13
"Peru",2.82,96,2.81,95,2.71,90
"Madagascar",0.26,8,0.29,8,0.3,8
"Ivory Coast",2.07,58,2.11,58,1.47,39
"Nepal",0.02,,0.02,1,0.01,
"Cameroon",0.39,11,0.26,7,0.32,9
"Venezuela",0.28,8,0.23,6,0.25,7
"Niger",0.02,1,0.02,,0.03,1
"Australia",29.86,782,26.99,700,19.6,503
"Mali",0.05,1,0.08,2,0.16,3
"Burkina Faso",0.67,15,0.85,19,0.6,13
"Taiwan",0.93,22,0.85,20,0.72,17
"Sri Lanka",0.05,1,0.04,1,0.05,1
"Malawi",0.01,,0.01,,0.01,
"Zambia",0.14,3,0.12,2,0.14,3
"Kazakhstan",2.22,43,2.7,52,2.77,52
"Chad",0.01,,0.01,,0.02,
"Chile",18.93,371,22.31,435,9.79,189
"Romania",25.33,498,28.38,548,20.95,407
"Senegal",0.34,6,0.37,6,0.31,5
"Guatemala",0.39,7,0.34,6,0.23,4
"Netherlands",23.83,419,22.25,389,21.85,381
"Ecuador",0.83,15,0.76,14,0.58,10
"Cambodia",0.08,1,0.04,1,0.09,2
"Zimbabwe",0.29,5,0.16,3,0.06,1
"Guinea",0.22,3,0.29,4,0.23,3
"Benin",0.54,7,0.26,3,0.29,4
"Rwanda",0.32,4,0.12,2,0.13,2
"Burundi",0.08,1,0.07,1,0.05,1
"Bolivia",0.82,10,0.72,9,0.62,7
"Tunisia",2.55,32,2.19,27,2.5,30
"Haiti",0.38,4,0.5,6,0.47,5
"Belgium",23.36,272,28.95,336,29.4,340
"Jordan",0.09,1,0.07,1,0.14,2
"Dominican Republic",1.75,20,1.42,16,0.8,9
"United Arab Emirates",1.87,18,1.76,17,2,19
"Cuba",1.33,15,1.35,15,1.49,17
"Honduras",0.21,2,0.35,4,0.21,2
"Czech Republic",11.2,117,10.2,107,10.25,108
"Sweden",19.57,206,19.57,205,20.7,215
"Tajikistan",0.04,,0.04,,0.04,
"Papua New Guinea",0.26,3,0.02,,0.19,2
