"country","year","mean_weekly","median_weekly","max_weekly"
"Austria","2020",4149.56666666667,316.5,47837
"Austria","2021",8894.26923076923,556.5,97085
"Austria","2022",42650.6153846154,7792,315892
"Austria","2023",7452.54,444.5,38954
"Belgium","2020",6991.47916666667,743.5,105383
"Belgium","2021",14319.2980769231,1401,125774
"Belgium","2022",24483.7596153846,2403,351698
"Belgium","2023",2009.15068493151,845,12472
"Bulgaria","2020",2392.31818181818,217.5,23262
"Bulgaria","2021",5467.72115384615,850.5,32962
"Bulgaria","2022",5297.85294117647,758,61831
"Bulgaria","2023",389.31914893617,69.5,2277
"Croatia","2020",1218.74725274725,34,13577
"Croatia","2021",5719.82692307692,1080,41241
"Croatia","2022",6716.38235294118,1390,49873
"Croatia","2023",769.032258064516,106,3404
"Cyprus","2020",301.622222222222,15,3835
"Cyprus","2021",1371.73076923077,221.5,16653
"Cyprus","2022",4352.22115384615,840.5,33898
"Cyprus","2023",607.9625,141.5,3320
"Czechia","2020",7165.97169811321,331,84210
"Czechia","2021",17286.6634615385,1237.5,132098
"Czechia","2022",19808.4711538462,1053.5,290974
"Czechia","2023",1179.53191489362,61.5,8520
"Denmark","2020",1332.50943396226,43.5,17038
"Denmark","2021",6266.11538461538,665.5,121009
"Denmark","2022",22003.0288461538,1401.5,297668
"Denmark","2023",383.815217391304,65,4575
"EU/EEA (total)","2020",152258.952830189,19916.5,1435130
"EU/EEA (total)","2021",411689.913461538,56498.5,4140807
"EU/EEA (total)","2022",1204256.95192308,300597,9059850
"EU/EEA (total)","2023",57242.9893617021,6522,445524
"Estonia","2020",389.588888888889,16,5570
"Estonia","2021",1920.54807692308,125.5,12069
"Estonia","2022",3487.53846153846,269,48031
"Estonia","2023",112.45652173913,15.5,591
"Finland","2020",411.402173913043,42.5,3137
"Finland","2021",2410.98076923077,305,44017
"Finland","2022",11293.1153846154,2241,59988
"Finland","2023",431.026315789474,142,2373
"France","2020",25899.4489795918,1899,334606
"France","2021",74046.6153846154,8159.5,1151117
"France","2022",280250.75,58336.5,2486551
"France","2023",17472.24,4788.5,83862
"Germany","2020",17998.7647058824,2310.5,174589
"Germany","2021",52938.2307692308,4977.5,403348
"Germany","2022",290564.913461538,76750.5,1588891
"Germany","2023",20240.8461538462,964,130316
"Greece","2020",1407.99056603774,63.5,18981
"Greece","2021",11138.3076923077,1621.5,201475
"Greece","2022",36398.4807692308,12909,241321
"Greece","2023",4710.62765957447,1028,39318
"Hungary","2020",3856.52272727273,133.5,39173
"Hungary","2021",9246.36538461538,977.5,71021
"Hungary","2022",8992.76923076923,1160,112019
"Hungary","2023",312.056818181818,34.5,1675
"Iceland","2020",63.5326086956522,2,603
"Iceland","2021",242.807692307692,5,6853
"Iceland","2022",2263.14102564103,307.5,19640
"Iceland","2023",45.6808510638298,38,192
"Ireland","2020",1185.33333333333,81,21057
"Ireland","2021",6550.06730769231,1235,81003
"Ireland","2022",8756.625,787,121340
"Ireland","2023",350.36170212766,101,3528
"Italy","2020",23892.78125,2811.5,244635
"Italy","2021",42507.7980769231,4324.5,828407
"Italy","2022",181941.759615385,56437.5,1224884
"Italy","2023",12152.5,1970.5,104354
"Latvia","2020",407.783018867925,6.5,6167
"Latvia","2021",2295.00961538462,262.5,16957
"Latvia","2022",6701.90384615385,576,68517
"Latvia","2023",66.6170212765958,17.5,393
