rok,dolnoslaskie,kujawskopomorskie,lubelskie,lubuskie,łodzkie,malopolskie,mazowieckie,opolskie,podkarpackie,podlaskie,pomorskie,slaskie,swietokrzyskie,warminskomazurskie,wielkopolskie,zachodniopomorskie,POLSKA
2007,27591,21814,21795,10796,23869,34071,55140,8493,20967,11196,25474,43858,11971,15616,38114,17108,387873
2008,29847,23253,23009,11351,25512,36852,58714,9177,22224,11945,27430,46994,12736,16339,40925,18191,414499
2009,29826,23059,22964,11499,26052,37286,59841,9280,22368,12202,27343,47860,12741,16538,40882,17848,417589
2010,29549,22596,22635,10939,25526,37049,60756,9163,21990,11928,26890,47814,12445,15771,40909,17340,413300
2011,27660,20971,21363,10421,23952,35524,57258,8686,21130,11155,25059,44803,11600,14750,38082,16002,388416
2012,27239,20764,21214,10367,23851,35117,57281,8939,21064,11161,25052,44565,11510,14330,37833,15970,386257
2013,25805,19853,19738,9737,22420,34307,55400,8227,20373,10619,23938,42829,10720,13624,36561,15425,369576
2014,27174,20031,19828,9716,22704,34419,57139,8593,19953,11029,24610,42720,10756,13958,37000,15530,375160
2015,26258,19190,19715,9420,22113,34721,57456,8289,19566,10825,24596,41611,10579,13121,36760,15088,369308
2016,27452,19840,19666,9734,22794,36331,59586,8634,20262,11373,25865,42742,10610,13443,38237,15688,382257
2017,28401,20900,20898,10300,23782,38161,61850,9083,21927,12054,27481,44971,10915,14533,40450,16276,401982
2018,27790,19866,20101,9467,23017,37864,60485,8596,21533,11790,26498,42596,10721,13687,38778,15389,388178
2019,26922,19342,19286,9036,21644,36946,59577,8493,20613,11342,26041,40508,10220,12911,37459,14614,374954
2020,25713,18013,18034,8634,20891,35360,56719,7951,19580,10557,24495,38151,9488,12108,35885,13730,355309
2021,24431,16709,16641,7925,19567,33285,53938,7285,17929,10112,23335,34736,8717,10539,33512,12850,331511
2022,22727,15061,15218,7090,18163,31082,50249,6788,16812,9150,20993,31597,8157,9913,30478,11654,305132
2023,19524,13522,13492,6499,16383,28323,44903,6177,14877,8280,19126,27641,7238,8487,27532,10447,272451
