latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.28285,20.89479,99.0,0,GMT,GMT

Dzien,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),sunshine_duration (s),rain_sum (mm),snowfall_sum (cm)
2024-12-05,3,5.3,1.6,6535.02,0.00,0.00
2024-12-06,51,3.1,1.8,0.00,0.40,0.00
2024-12-07,3,3.3,0.8,0.00,0.00,0.00
2024-12-08,53,4.0,1.5,0.00,3.30,0.00
2024-12-09,53,4.5,1.2,0.00,1.20,0.00
2024-12-10,3,1.4,0.5,0.00,0.00,0.00
2024-12-11,71,1.9,0.1,0.00,0.20,0.07
2024-12-12,51,1.5,0.1,0.00,0.40,0.00
2024-12-13,3,1.4,-2.0,22523.75,0.00,0.00
2024-12-14,71,0.5,-2.9,0.00,0.30,0.21
2024-12-15,73,4.0,-0.0,0.00,1.80,0.56
2024-12-16,63,10.0,3.9,0.00,18.40,0.00
2024-12-17,53,9.1,6.0,0.00,2.40,0.00
2024-12-18,55,7.8,6.6,0.00,1.40,0.00
2024-12-19,51,9.7,6.9,0.00,0.80,0.00
2024-12-20,51,8.3,1.7,1349.35,0.80,0.00
2024-12-21,3,4.1,1.2,0.00,0.00,0.00
2024-12-22,55,4.6,1.0,0.00,4.50,0.00
2024-12-23,51,4.2,2.5,0.00,0.60,0.00
2024-12-24,3,4.5,1.5,0.00,0.00,0.00
2024-12-25,3,3.7,0.1,0.00,0.00,0.00
2024-12-26,3,2.4,-0.6,22016.02,0.00,0.00
2024-12-27,51,2.0,0.1,0.00,0.10,0.00
2024-12-28,61,2.4,1.4,0.00,2.20,0.00
2024-12-29,51,4.0,0.0,0.00,0.20,0.00
2024-12-30,51,2.1,0.2,0.00,0.20,0.00
2024-12-31,51,3.0,0.6,0.00,0.10,0.00
2025-01-01,3,4.8,0.6,0.00,0.00,0.00
2025-01-02,61,6.1,-0.9,0.00,4.90,0.00
2025-01-03,73,1.6,-1.4,0.00,1.90,0.98
2025-01-04,3,-0.6,-4.1,10432.28,0.00,0.00
2025-01-05,3,-0.5,-4.2,10595.08,0.00,0.00
2025-01-06,71,6.1,-1.9,4055.19,3.40,0.49
2025-01-07,61,5.7,3.3,0.00,6.90,0.00
2025-01-08,71,3.4,0.9,3780.95,3.90,0.14
2025-01-09,53,6.1,-0.6,0.00,2.50,0.00
2025-01-10,71,7.3,0.4,0.00,2.10,0.07
2025-01-11,73,0.6,-0.4,0.00,2.70,4.34
2025-01-12,73,1.2,-1.2,0.00,1.60,0.70
2025-01-13,51,0.2,-2.2,19151.89,0.10,0.00
2025-01-14,61,0.4,-1.6,0.00,7.10,0.00
2025-01-15,73,2.3,0.2,0.00,2.20,0.49
2025-01-16,51,2.5,0.9,0.00,0.10,0.00
