"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","405586592.178771","487709497.206704","596648044.692737","695530726.256983","764804469.273743","872067039.106145","958659217.877095","1083240223.46369","1245810055.86592","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722905027.93296","1873452513.96648","1896456983.24022","1961843575.41899","2044111731.84358","2254830726.25698","2360017318.43575","2469782681.56425","2677641340.78212","2843024581.00559","2553793296.08939","2453597206.70391","2637859217.87709","2615208379.88827","2727849720.67039","2790849720.67039","2962907262.56983","2983635195.53073","3092429050.27933","3276184357.5419","3395798882.68156","2558906303.88098","3103184101.51354","3544707788.05664","",
"Africa Eastern and Southern","AFE","GDP (current US$)","NY.GDP.MKTP.CD","21216962289.5576","22307471355.6779","23702472100.0023","25779376632.7218","28049537324.8574","30374910059.5078","33049155473.4976","35933757401.7631","38749864977.0221","42964345101.1725","43702318276.3353","47632993912.8398","51627511756.5395","66610917871.4537","81658052383.2557","86883552689.3195","88290755580.5163","98868135189.6069","110802408134.927","129780974539.911","168165164238.413","177750099368.148","169302766914.395","179897833535.127","166208098815.079","143249519478.307","154792610860.847","185812458342.955","202092611345.541","214473497464.094","251211844157.14","273542601824.325","239433170776.128","240271389187.381","243564813413.467","273433056168.814","272519342675.993","288405283765.897","268833638136.368","265429291621.998","287201651448.678","260992227336.281","267815037918.24","355716369427.671","442696185471.329","516661066465.534","580240749509.224","665598701583.95","713502105052.171","715485327250.406","849409658737.661","945439147816.613","952675592818.555","963347276805.076","979689662429.07","899295676086.836","829829959319.292","940105480733.676","1012719339457.72","1006527294483.09","929074086484.093","1086772164579.87","1183962133998.87","1236163044999.97",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3521418059.92345","2813571753.87253","3825701438.99963","4520946818.54581","5224896718.67782","6203256538.70967","6971758282.29351","9747886187.39393","10109297047.5432","12416152732.0567","15856668555.8336","17805098206.3141","19907329777.5872","20146416757.5987","20497128555.6972","19134221644.7325","18116572395.0772","18753456497.8159","18053222687.4126","18799444490.1128","19955929052.1496","14266499429.8746","14502158192.0904","",
"Africa Western and Central","AFW","GDP (current US$)","NY.GDP.MKTP.CD","11884128412.3564","12685662254.5483","13606829296.9535","14439975113.7629","15769107619.6443","16934480009.6751","18048039301.7653","16495768073.4409","17022696447.0261","19301308226.6821","26697107727.5705","24507115744.8399","29493915342.4969","36902672687.4935","49688193508.8011","57280847233.579","68386320009.2441","71790695539.8936","78779099935.405","96682239143.4334","120501079996.362","216911025160.501","195917937082.072","151222762742.845","131218159345.53","137802915765.208","109237001606.117","112294774121.175","111227154884.747","103934371464.607","123711320144.874","129942000513.294","124599388202.387","129732548073.785","134776896049.753","207176985178.439","262600907503.915","275742235273.2","296152435737.045","139468348132.66","142140083285.948","149451860838.109","178692437188.28","206982053949.069","256100640349.771","312409315139.612","397088785487.807","465683513908.341","567937963599.451","508552578501.962","598697706331.002","682233324561.043","737799647336.195","834160608935.995","894585438237.958","769367317617.821","692181085843.488","685750159763.133","768189587833.624","823933630796.516","787146719022.421","845993047006.805","877140805320.357","796586157553.094",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5880000000","4432026143.79085","5538657322.02139","6535458385.48185","7675423799.36293","6506387246.89039","6152923310.44546","9129594970.15301","8936079117.73136","15285592370.374","17812704586.4397","23552057679.4994","36970900883.8109","52381025141.4268","65266415494.2584","88538665084.8634","70307196181.6539","83799474069.7315","111789747670.59","128052915766.343","132339109040.232","135966802586.713","90496420506.5957","52761617225.9253","73690154990.7312","79450688259.3664","70897962732.0277","48501561203.5686","66505129987.7235","104399746853.401","84722957642.3757",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1857337995.338","1897050116.55012","2097326250","2080796250","2051236250","2253090000","2028553750","1099559027.77778","652174990.837304","1185315468.46295","1880950864.41311","2392764853.42107","3199640815.4163","2258513974.0968","2545964540.88383","3212121650.97755","3480355258.04122","3922100793.5403","4348068242.19512","5611496257.14231","7184685781.51876","8052077248.14638","8896075004.63516","10677324852.8822","12881352893.6855","12044205549.6571","11926926615.8015","12890760315.146","12319834195.331","12776224496.9718","13228147516.1168","11386853113.0189","11861199830.8396","13019726211.7369","15156424015.1977","15401826127.2539","15162734205.2462","17930565118.8176","18916378860.5488","22977677860.7979",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78617711.0965325","89406608.1458151","113414397.365635","150841639.297444","186557081.998137","220112572.205331","227283850.831271","253997897.226968","308020261.164149","411548748.354729","446377776.798001","388983266.199886","375914743.581006","327850042.515872","330073080.637098","346742714.675152","481996012.869071","611299924.540506","721425939.15155","795489582.04491","1028989692.06787","1106891361.53948","1209992020.29543","1007090269.86956","1017544068.8408","1178745282.8678","1224024139.21295","1180645571.8643","1211953994.05714","1240295103.07939","1432606188.69324","1548265808.05802","1764279824.29752","2366941808.94404","2900245324.49221","3161084091.11674","3459337986.44948","3957625367.21959","4102319399.02343","3688976340.7549","3449925738.86069","3629133574.27783","3188652765.36184","3193512950.02419","3271685596.66321","2789881258.50362","2896610479.73077","3000162081.11976","3218419896.9641","3155149347.80639","2891001149.3611","3324683011.5903","3380602042.84283","3727673593.01922",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","26772088212.0984","28352060773.2281","30601967880.9874","34974202379.5223","38564894020.0476","43095586226.7621","49931740624.5472","59972469492.2244","79132917458.6291","152202083224.961","168173601402.787","210012101145.604","242292495289.487","265427508130.785","358140569341.464","486440975212.356","494949357407.862","463116781558.681","437502791694.113","440213958688.439","432899572101.063","405502496535.095","431288831867.965","429413862085.537","457402110666.693","640090916280.622","466374353043.271","466062663007.974","477189600616.462","498083764817.621","526560849591.849","568785405470.355","612394626427.844","596742288704.401","663176057519.824","760659530858.826","741974816657.261","743726477660.188","826976496725.027","983700787595.348","1205595865007.25","1434109187806.89","1668426022116.89","2109171849559.77","1822783841737.67","2154252309110.19","2559855182439.78","2793775680472.15","2857872049304.91","2905075942181.63","2544136348540.18","2499965913229.88","2571053716382.94","2865543585777.95","2898668715645.56","2576553324185.61","2969116805615.58","3613682354462.24","3491516939569.88",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","685986701.34692","939893599.61414","1415086929.21309","4231243615.87142","11651505689.5341","14720728248.5355","19213158778.7928","24871775164.6043","23775764224.6831","31225659620.9951","43599160050.3322","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617467964.602","222116541865.214","257916133424.098","315474615738.598","253547358747.447","300189052688.904","360832739550.715","384610125391.423","400218529748.128","414105366752.893","370275469571.137","369255326235.534","390516804029.952","427049432157.931","417989721742.682","349473015330.157","415178792756.978","507063968277.74","504173451327.434",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","109490000000","112988571428.571","88416666666.6667","106213829787.234","109029439252.336","126928000000","76629657863.6557","141352654305.163","189719984268.485","228778917308.17","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530158122010.442","545982375701.128","552025140252.246","526319673731.638","594749285413.212","557532320662.955","643628393281.364","524819892360.176","447754683615.225","385740508436.965","487902572164.348","631133384439.944","640591410663.883",
