IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2019,true,,,,,,,,,,,,,0.028,,,,,,0.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2019,true,,,,,,,,,,,,,0.12,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,CAN,Canada,Year,2019,true,,,,,,,,,,,,,0.09,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,FIN,Finland,Year,2019,true,,,,,,,,,,,,,0.088,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,FRA,France,Year,2019,true,,,,,,,,,,,,,0.085,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,DEU,Germany,Year,2019,true,,,,,,,,,,,,,0.12,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,,,,,,,,,,,,,0.058,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,LTU,Lithuania,Year,2019,true,,,,,,,,,,,,,0.15,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,NOR,Norway,Year,2019,true,,,,,,,,,,,,,0.12,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2019,true,,,,,,,,,,,,,0.12,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2019,true,,,,,,,,,,,,,0.075,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2019,true,,,,,,,,,,,,,0.12,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,true,,,,,,,,,,,,,0.084,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,USA,United States of America,Year,2019,true,,,,,,,,,,,,,0.11,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,AUT,Austria,Year,2019,true,,,,,,,,,,,,,0.19,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,BEL,Belgium,Year,2019,true,,,,,,,,,,,,,0.17,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,CZE,Czechia,Year,2019,true,,,,,,,,,,,,,0.16,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,DNK,Denmark,Year,2019,true,,,,,,,,,,,,,0.15,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,EST,Estonia,Year,2019,true,,,,,,,,,,,,,0.19,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,ISL,Iceland,Year,2019,true,,,,,,,,,,,,,0.15,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,IRL,Ireland,Year,2019,true,,,,,,,,,,,,,0.16,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,ITA,Italy,Year,2019,true,,,,,,,,,,,,,0.17,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,LVA,Latvia,Year,2019,true,,,,,,,,,,,,,0.21,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2019,true,,,,,,,,,,,,,0.16,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2019,true,,,,,,,,,,,,,0.16,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,SRB,Serbia,Year,2019,true,,,,,,,,,,,,,0.24,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,SWE,Sweden,Year,2019,true,,,,,,,,,,,,,0.16,,,,,,0.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2019,true,,,,,,,,,,,,,0.34,,,,,,0.3,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,ISR,Israel,Year,2019,true,,,,,,,,,,,,,0.3,,,,,,0.3,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,MLT,Malta,Year,2019,true,,,,,,,,,,,,,0.26,,,,,,0.3,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,MUS,Mauritius,Year,2019,true,,,,,,,,,,,,,0.32,,,,,,0.3,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2019,true,,,,,,,,,,,,,0.34,,,,,,0.3,,,EN,2023-04-19T22:00:00.000Z
