Location,Population
Afghanistan,38972230
Albania,2866849
Algeria,43451666
American Samoa,46189
Andorra,77700
Angola,33428485
Anguilla,15585
Antigua and Barbuda,92664
Argentina,45036032
Armenia,2805608
Aruba,106585
Australia,25670051
Austria,8907777
Azerbaijan,10284951
Bahamas,406471
Bahrain,1477469
Bangladesh,167420951
Barbados,280693
Belarus,9633740
Belgium,11561717
Belize,394921
Benin,12643123
Bermuda,64031
Bhutan,772506
Bolivia (Plurinational State of) ,11936162
Bosnia and Herzegovina,3318407
Botswana,2546402
Brazil,213196304
British Virgin Islands,30910
Brunei Darussalam ,441725
Bulgaria,6979175
Burkina Faso,21522626
Burundi,12220227
Cambodia,16396860
Cameroon,26491087
Canada,37888705
Cabo Verde ,582640
Cayman Islands,67311
Central African Republic,5343020
Chad,16644701
Chile,19300315
China,1424929781
Colombia,50930662
Comoros,806166
Cook Islands,17029
Costa Rica,5123105
Croatia,4096868
Cuba,11300698
Curacao,189288
Cyprus,1237537
Czech Republic,10530953
Denmark,5825641
Djibouti,1090156
Dominica,71995
Dominican Republic,10999664
Democratic Republic of the Congo,92853164
Ecuador,17588595
Egypt,107465134
El Salvador,6292731
Equatorial Guinea,1596049
Eritrea,3555868
Estonia,1329444
Eswatini,1180655
Ethiopia,117190911
Falkland Islands,3747
Faroe Islands,52415
Fiji,920422
Finland,5529468
France,64480053
French Guiana,290969
French Polynesia,301920
Gabon,2292573
Gambia,2573995
Georgia,3765912
Germany,83328988
Ghana,32180401
Gibraltar,32709
Greece,10512232
Greenland,56026
Grenada,123663
Guadeloupe,395642
Guam,169231
Guatemala,17362718
Guernsey,62794
Guinea,13205153
Guinea-Bissau,2015828
Guyana,797202
Haiti,11306801
Honduras,10121763
Hong Kong,7500958
Hungary,9750573
Iceland,366669
India,1396387127
Indonesia,271857970
Iran (Islamic Republic of),87290193
Iraq,42556984
Ireland,4946119
Isle of Man,84046
Israel,8757489
Italy,59500579
Ivory Coast,26811790
Jamaica,2820436
Japan,125244761
Jersey,108319
Jordan,10928721
Kazakhstan,18979243
Kenya,51985780
Kiribati,126463
Kuwait,4360444
Kyrgyzstan,6424874
Laos,7319399
Latvia,1897052
Lebanon,5662923
Lesotho,2254100
Liberia,5087584
Libya,6653942
Liechtenstein,38756
Lithuania,2820267
Luxembourg,630399
Macau,676283
Madagascar,28225177
Malawi,19377061
Malaysia,33199993
Maldives,514438
Mali,21224040
Malta,515357
Marshall Islands,43413
Martinique,370391
Mauritania,4498604
Mauritius,1297828
Mayotte,305587
Mexico,125998302
Micronesia (Federated States of) ,112106
Moldova,3084847
Monaco,36922
Mongolia,3294335
Montenegro,629048
Montserrat,4500
Morocco,36688772
Mozambique,31178239
Myanmar,53423198
Namibia,2489098
Nauru,12315
Nepal,29348627
Netherlands (Kingdom of the),17434557
New Caledonia,286403
New Zealand,5061133
Nicaragua,6755895
Niger,24333639
Nigeria,208327405
Niue,1942
North Korea,25867467
North Macedonia,2111072
Northern Mariana Islands,49587
Norway,5379839
Oman,4543399
Pakistan,227196741
Palau,17972
Palestine,5019401
Panama,4294396
Papua New Guinea,9749640
Paraguay,6618695
Peru,33304756
Philippines,112190977
Poland,38428366
Portugal,10298192
Puerto Rico,3271564
Qatar,2760385
Congo,5702174
Reunion,957822
Romania,19442038
Russia,145617329
Rwanda,13146362
Saint Barthelemy,10681
Saint Kitts and Nevis,47642
Saint Lucia,179237
Saint Martin,32552
Saint Pierre and Miquelon,5906
Saint Vincent and the Grenadines,104632
Samoa,214929
San Marino,34007
Sao Tome and Principe,218641
Saudi Arabia,35997107
Senegal,16436119
Serbia,7358005
Seychelles,105530
Sierra Leone,8233969
Singapore,5909869
Sint Maarten,43621
Slovakia,5456681
Slovenia,2117641
Solomon Islands,691191
Somalia,16537016
South Africa,58801927
South Korea,51844690
South Sudan,10606227
Spain,47363807
Sri Lanka,21715079
Sudan,44440486
Suriname,607065
Sweden,10368969
Switzerland,8638613
Syria,20772595
Taiwan,23821464
Tajikistan,9543207
United Republic of Tanzania,61704518
Thailand,71475664
Timor-Leste,1299995
Togo,8442580
Tokelau,1827
Tonga,105254
Trinidad and Tobago,1518147
Tunisia,12161723
Türkiye,84135428
Turkmenistan,6250438
Turks and Caicos Islands,44276
Tuvalu,11069
Uganda,44404611
Ukraine,43909666
United Arab Emirates,9287289
United Kingdom of Great Britain and Northern Ireland ,67059474
United States of America,335942003
United States Virgin Islands,100442
Uruguay,3429086
Uzbekistan,33526656
Vanuatu,311685
Vatican City,520
Venezuela,28490453
Vietnam,96648685
Wallis and Futuna,11655
Western Sahara,556048
Yemen,32284046
Zambia,18927715
Zimbabwe,15669666
