date,unlocks
2024-12-15,40
2024-12-16,170
2024-12-17,129
2024-12-18,73
2024-12-19,57
2024-12-20,175
2024-12-21,71
2024-12-22,116
2024-12-23,92
2024-12-24,96
2024-12-25,110
2024-12-26,104
2024-12-27,22
2024-12-28,46
2024-12-29,69
2024-12-30,87
2024-12-31,90
2025-01-01,27
2025-01-02,98
2025-01-03,120
2025-01-04,45
2025-01-05,34
2025-01-06,156
2025-01-07,95
2025-01-08,56
2025-01-02,40
2025-01-10,13
