date,unlocks
2024-12-15,191
2024-12-16,130
2024-12-17,67
2024-12-18,64
2024-12-19,194
2024-12-20,44
2024-12-21,72
2024-12-22,161
2024-12-23,138
2024-12-24,81
2024-12-25,187
2024-12-26,109
2024-12-27,39
2024-12-28,42
2024-12-29,115
2024-12-30,189
2024-12-31,124
2025-01-01,54
2025-01-02,76
2025-01-03,32
2025-01-04,120
2025-01-05,43
2025-01-06,93
2025-01-07,76
2025-01-08,150
2025-01-09,87
2025-01-10,65
