outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Cocaine Use in the Past Year,12 to 17,2004-06,"Texas Region 10",0.0240989911,0.0140774705,0.0409582931
Cocaine Use in the Past Year,18 or Older,2004-06,"Texas Region 10",0.0269952942,0.0180469969,0.0401988184
Cocaine Use in the Past Year,18 to 25,2004-06,"Texas Region 10",0.0716921762,0.0468910855,0.1081226953
Cocaine Use in the Past Year,26 or Older,2004-06,"Texas Region 10",0.0177566682,0.0102615221,0.030557342
Cocaine Use in the Past Year,12 or Older,2004-06,"Texas Region 11",0.0280992157,0.0213650215,0.036876027
Cocaine Use in the Past Year,12 to 17,2004-06,"Texas Region 11",0.0283881717,0.0186071816,0.0430848864
Cocaine Use in the Past Year,18 or Older,2004-06,"Texas Region 11",0.0280599916,0.0208202449,0.0377202108
Cocaine Use in the Past Year,18 to 25,2004-06,"Texas Region 11",0.0701232172,0.0518755794,0.0941521983
Cocaine Use in the Past Year,26 or Older,2004-06,"Texas Region 11",0.0189488959,0.0123433172,0.028985733
Cocaine Use in the Past Year,12 or Older,2004-06,"Texas Region 11abd",0.0283076015,0.020127548,0.0396775015
Cocaine Use in the Past Year,12 to 17,2004-06,"Texas Region 11abd",0.0293808991,0.0176087626,0.0486335498
Cocaine Use in the Past Year,18 or Older,2004-06,"Texas Region 11abd",0.0281527624,0.0194161125,0.0406576352
Cocaine Use in the Past Year,18 to 25,2004-06,"Texas Region 11abd",0.0729932671,0.049598078,0.1061908468
Cocaine Use in the Past Year,26 or Older,2004-06,"Texas Region 11abd",0.0188701207,0.011217101,0.0315777671
Cocaine Use in the Past Year,12 or Older,2004-06,"Texas Region 11c (Hidalgo)",0.0276874239,0.0193576806,0.0394572928
Cocaine Use in the Past Year,12 to 17,2004-06,"Texas Region 11c (Hidalgo)",0.0266060666,0.0156479357,0.0448881508
Cocaine Use in the Past Year,18 or Older,2004-06,"Texas Region 11c (Hidalgo)",0.0278738812,0.0188404327,0.0410573641
Cocaine Use in the Past Year,18 to 25,2004-06,"Texas Region 11c (Hidalgo)",0.0649627408,0.0440604513,0.0947977358
Cocaine Use in the Past Year,26 or Older,2004-06,"Texas Region 11c (Hidalgo)",0.019110815,0.0110257309,0.0329272361
Cocaine Use in the Past Year,12 or Older,2004-06,"Texas Region 2",0.0238254091,0.0164127477,0.0344686069
Cocaine Use in the Past Year,12 to 17,2004-06,"Texas Region 2",0.0210142967,0.0117286057,0.0373735744
Cocaine Use in the Past Year,18 or Older,2004-06,"Texas Region 2",0.0241767737,0.0162359108,0.0358598818
Cocaine Use in the Past Year,18 to 25,2004-06,"Texas Region 2",0.0746481138,0.0500969924,0.1098397766
Cocaine Use in the Past Year,26 or Older,2004-06,"Texas Region 2",0.0148025472,0.0084721613,0.0257401948
Cocaine Use in the Past Year,12 or Older,2004-06,"Texas Region 3",0.0205545917,0.0163074028,0.025878841
Cocaine Use in the Past Year,12 to 17,2004-06,"Texas Region 3",0.0193600153,0.0134802071,0.0277323873
Cocaine Use in the Past Year,18 or Older,2004-06,"Texas Region 3",0.0207013694,0.0161288245,0.0265352751
Cocaine Use in the Past Year,18 to 25,2004-06,"Texas Region 3",0.0545249519,0.0425622375,0.0696055174
Cocaine Use in the Past Year,26 or Older,2004-06,"Texas Region 3",0.014260518,0.0099119683,0.020477393
Cocaine Use in the Past Year,12 or Older,2004-06,"Texas Region 3a",0.021985555,0.0168494766,0.0286416098
Cocaine Use in the Past Year,12 to 17,2004-06,"Texas Region 3a",0.0200618641,0.0131748096,0.0304380409
Cocaine Use in the Past Year,18 or Older,2004-06,"Texas Region 3a",0.0222196919,0.0166831946,0.0295383424
Cocaine Use in the Past Year,18 to 25,2004-06,"Texas Region 3a",0.0571518992,0.0425147385,0.0764261667
Cocaine Use in the Past Year,26 or Older,2004-06,"Texas Region 3a",0.015395037,0.0101670566,0.0232481468
Cocaine Use in the Past Year,12 or Older,2004-06,"Texas Region 3bc",0.0180280635,0.0128810947,0.0251791753
Cocaine Use in the Past Year,12 to 17,2004-06,"Texas Region 3bc",0.0181412155,0.0106350602,0.0307803448
Cocaine Use in the Past Year,18 or Older,2004-06,"Texas Region 3bc",0.0180151452,0.0125348491,0.0258287815
Cocaine Use in the Past Year,18 to 25,2004-06,"Texas Region 3bc",0.0495835565,0.0341859021,0.0714037295
Cocaine Use in the Past Year,26 or Older,2004-06,"Texas Region 3bc",0.012276399,0.0073991218,0.0203028704
