outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2006-08,"West",0.0689997606,0.065304552,0.0728877549
Marijuana Use in the Past Month,12 to 17,2006-08,"West",0.0725734139,0.0673634411,0.0781525667
Marijuana Use in the Past Month,18 or Older,2006-08,"West",0.0685797494,0.0645484553,0.0728432078
Marijuana Use in the Past Month,18 to 25,2006-08,"West",0.1728611411,0.1635532741,0.1825830935
Marijuana Use in the Past Month,26 or Older,2006-08,"West",0.0496904576,0.0452523441,0.0545389739
Marijuana Use in the Past Month,12 or Older,2006-08,"South",0.052034027,0.0497466619,0.0544205426
Marijuana Use in the Past Month,12 to 17,2006-08,"South",0.0590507681,0.0555791785,0.0627247985
Marijuana Use in the Past Month,18 or Older,2006-08,"South",0.0512446999,0.048785042,0.0538213528
Marijuana Use in the Past Month,18 to 25,2006-08,"South",0.1439401912,0.1369152659,0.1512623857
Marijuana Use in the Past Month,26 or Older,2006-08,"South",0.0355600569,0.032929711,0.0383921674
Marijuana Use in the Past Month,12 or Older,2006-08,"Midwest",0.0591812543,0.0566611596,0.0618060906
Marijuana Use in the Past Month,12 to 17,2006-08,"Midwest",0.0680825861,0.0643942161,0.0719659683
Marijuana Use in the Past Month,18 or Older,2006-08,"Midwest",0.0581705681,0.055438548,0.0610285237
Marijuana Use in the Past Month,18 to 25,2006-08,"Midwest",0.1611540722,0.1537632872,0.168829229
Marijuana Use in the Past Month,26 or Older,2006-08,"Midwest",0.0402362572,0.0373253534,0.0433639487
Marijuana Use in the Past Month,12 or Older,2006-08,"Northeast",0.0657960586,0.062552939,0.06919491
Marijuana Use in the Past Month,12 to 17,2006-08,"Northeast",0.0752488288,0.070296702,0.0805195996
Marijuana Use in the Past Month,18 or Older,2006-08,"Northeast",0.0647828886,0.0612946999,0.0684551087
Marijuana Use in the Past Month,18 to 25,2006-08,"Northeast",0.196729063,0.1874458904,0.2063552243
Marijuana Use in the Past Month,26 or Older,2006-08,"Northeast",0.0428303697,0.0391666067,0.0468201519
Marijuana Use in the Past Month,12 or Older,2006-08,"United States",0.0600752953,0.0583634579,0.0618340449
Marijuana Use in the Past Month,12 to 17,2006-08,"United States",0.0671539596,0.064680028,0.069715463
Marijuana Use in the Past Month,18 or Older,2006-08,"United States",0.0592761591,0.0574060974,0.0612031843
Marijuana Use in the Past Month,18 to 25,2006-08,"United States",0.1642276929,0.1599992024,0.1685455119
Marijuana Use in the Past Month,26 or Older,2006-08,"United States",0.0411732111,0.039259989,0.0431754786
Marijuana Use in the Past Month,12 or Older,2006-08,"Alabama",0.045707426,0.0380617273,0.0548014677
Marijuana Use in the Past Month,12 to 17,2006-08,"Alabama",0.0518521818,0.0413584506,0.0648283949
Marijuana Use in the Past Month,18 or Older,2006-08,"Alabama",0.0450215401,0.0369613762,0.054739476
Marijuana Use in the Past Month,18 to 25,2006-08,"Alabama",0.124080319,0.1044025414,0.1468587871
Marijuana Use in the Past Month,26 or Older,2006-08,"Alabama",0.0315836046,0.0239122476,0.0416111152
Marijuana Use in the Past Month,12 or Older,2006-08,"Alabama Region 1",0.038727176,0.0286039054,0.0522405193
Marijuana Use in the Past Month,12 to 17,2006-08,"Alabama Region 1",0.04579998,0.0320195372,0.0651122557
Marijuana Use in the Past Month,18 or Older,2006-08,"Alabama Region 1",0.0379800592,0.027535843,0.0521731844
Marijuana Use in the Past Month,18 to 25,2006-08,"Alabama Region 1",0.1198518193,0.0894171097,0.1588385425
Marijuana Use in the Past Month,26 or Older,2006-08,"Alabama Region 1",0.0259119361,0.016813717,0.0397344064
Marijuana Use in the Past Month,12 or Older,2006-08,"Alabama Region 2",0.0465157685,0.0361528184,0.0596653034
Marijuana Use in the Past Month,12 to 17,2006-08,"Alabama Region 2",0.0552702153,0.0397035597,0.0764542098
Marijuana Use in the Past Month,18 or Older,2006-08,"Alabama Region 2",0.045556276,0.0348484796,0.0593518998
Marijuana Use in the Past Month,18 to 25,2006-08,"Alabama Region 2",0.1254336566,0.0974562487,0.1600187306
Marijuana Use in the Past Month,26 or Older,2006-08,"Alabama Region 2",0.0320158881,0.0223175603,0.0457315892
Marijuana Use in the Past Month,12 or Older,2006-08,"Alabama Region 3",0.0512363268,0.0366509026,0.071197124
Marijuana Use in the Past Month,12 to 17,2006-08,"Alabama Region 3",0.0484713562,0.0319292469,0.0729379944
Marijuana Use in the Past Month,18 or Older,2006-08,"Alabama Region 3",0.051564105,0.0363737367,0.0726201852
Marijuana Use in the Past Month,18 to 25,2006-08,"Alabama Region 3",0.1279855116,0.0930005428,0.1736120072
Marijuana Use in the Past Month,26 or Older,2006-08,"Alabama Region 3",0.0345797639,0.0215515243,0.0550407449
Marijuana Use in the Past Month,12 or Older,2006-08,"Alabama Region 4",0.0488626287,0.0365292239,0.0650789031
Marijuana Use in the Past Month,12 to 17,2006-08,"Alabama Region 4",0.0568889146,0.0394828239,0.0813188676
Marijuana Use in the Past Month,18 or Older,2006-08,"Alabama Region 4",0.0479267434,0.0352416889,0.0648707006
Marijuana Use in the Past Month,18 to 25,2006-08,"Alabama Region 4",0.122836375,0.0933075653,0.1600604155
Marijuana Use in the Past Month,26 or Older,2006-08,"Alabama Region 4",0.0359541139,0.0242182024,0.0530678438
Marijuana Use in the Past Month,12 or Older,2006-08,"Alaska",0.0888773068,0.0763988376,0.1031662633
Marijuana Use in the Past Month,12 to 17,2006-08,"Alaska",0.0826462389,0.0678884295,0.1002670545
Marijuana Use in the Past Month,18 or Older,2006-08,"Alaska",0.0897101775,0.0761493343,0.1054104231
Marijuana Use in the Past Month,18 to 25,2006-08,"Alaska",0.2019013061,0.173779252,0.2332892729
Marijuana Use in the Past Month,26 or Older,2006-08,"Alaska",0.0686855926,0.0544583682,0.0862904713
Marijuana Use in the Past Month,12 or Older,2006-08,"Alaska Southeast",0.0901960765,0.0638236012,0.1259992272
Marijuana Use in the Past Month,12 to 17,2006-08,"Alaska Southeast",0.0889808433,0.0601745044,0.1296744591
Marijuana Use in the Past Month,18 or Older,2006-08,"Alaska Southeast",0.0903418901,0.0628362385,0.1282401773
Marijuana Use in the Past Month,18 to 25,2006-08,"Alaska Southeast",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2006-08,"Alaska Southeast",0.0727912208,0.0467735188,0.1115870672
Marijuana Use in the Past Month,12 or Older,2006-08,"Alaska Anchorage",0.0869752435,0.0710375294,0.1060803632
Marijuana Use in the Past Month,12 to 17,2006-08,"Alaska Anchorage",0.0782491132,0.05872624,0.1035481715
Marijuana Use in the Past Month,18 or Older,2006-08,"Alaska Anchorage",0.0880792488,0.0710702989,0.1086826176
Marijuana Use in the Past Month,18 to 25,2006-08,"Alaska Anchorage",0.2022439323,0.1670294192,0.2427193167
Marijuana Use in the Past Month,26 or Older,2006-08,"Alaska Anchorage",0.0670471392,0.0496963946,0.0898826731
Marijuana Use in the Past Month,12 or Older,2006-08,"Alaska Northern",0.0980043102,0.0768594353,0.1241838258
Marijuana Use in the Past Month,12 to 17,2006-08,"Alaska Northern",0.0849192535,0.0608785811,0.1172680182
Marijuana Use in the Past Month,18 or Older,2006-08,"Alaska Northern",0.100034938,0.0773646132,0.1284237255
