Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Indiana,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
Utah,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,1.5,45,3339113
California,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,1.5,722,39142991
Arizona,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,1.6,160,7264877
Oregon,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,1.7,101,4256301
Washington,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,1.9,185,7740745
Colorado,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2,142,5811297
Hawaii,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2,39,1447154
Nevada,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2,79,3146402
South Dakota,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.1,26,896164
Massachusetts,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.2,207,6989690
Nebraska,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.2,53,1963554
Minnesota,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.2,169,5711471
Wyoming,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.3,19,579483
New Mexico,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.3,67,2116677
Idaho,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.3,53,1904314
New Hampshire,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.4,51,1387505
Vermont,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.4,26,646972
New Jersey,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.4,288,9267961
Montana,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.4,39,1106227
Puerto Rico,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.4,131,3262693
Alaska,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.5,21,734182
New York,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.6,714,19857492
Maryland,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.6,213,6174610
Connecticut,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.7,143,3623355
Texas,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.7,856,29558864
Oklahoma,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.8,142,3991225
Delaware,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.8,42,1004807
Virginia,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.8,316,8657365
Illinois,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.9,491,12686469
Kansas,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.9,109,2937922
Rhode Island,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,2.9,48,1096985
North Dakota,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3,29,777934
Pennsylvania,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3,546,13012059
Iowa,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3,129,3197689
Florida,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3,1012,21828069
District of Columbia,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.1,22,668791
Michigan,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.1,429,10037504
Georgia,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.1,406,10788029
Wisconsin,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.2,271,5880101
Maine,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.3,74,1377238
North Carolina,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.3,470,10565885
South Carolina,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.4,247,5193266
Missouri,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.4,286,6169823
Alabama,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.6,245,5049846
Ohio,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.7,586,11764342
Mississippi,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.7,146,2949586
Tennessee,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,3.9,357,6968351
Arkansas,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,4.1,167,3028122
Kentucky,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,4.3,258,4506589
West Virginia,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,4.3,114,1785526
Louisiana,Larynx,2021,Male and Female,All Races and Ethnicities,Incidence,4.4,264,4627098
