outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,12 or Older,2004-06,"West",0.5109193376,0.5015564141,0.520274606
Alcohol Use in the Past Month,12 to 17,2004-06,"West",0.1637830828,0.1560282622,0.1718448505
Alcohol Use in the Past Month,18 or Older,2004-06,"West",0.5532039248,0.5428077664,0.5635537613
Alcohol Use in the Past Month,18 to 25,2004-06,"West",0.5791525103,0.56831577,0.5899135101
Alcohol Use in the Past Month,26 or Older,2004-06,"West",0.5484599494,0.5367096645,0.5601564474
Alcohol Use in the Past Month,12 or Older,2004-06,"South",0.4676645236,0.4600490258,0.4752951169
Alcohol Use in the Past Month,12 to 17,2004-06,"South",0.1570470221,0.1515509023,0.16270424
Alcohol Use in the Past Month,18 or Older,2004-06,"South",0.5035064147,0.4950993952,0.511911452
Alcohol Use in the Past Month,18 to 25,2004-06,"South",0.5672768888,0.5590314783,0.5754852007
Alcohol Use in the Past Month,26 or Older,2004-06,"South",0.4924285686,0.482960035,0.5019025371
Alcohol Use in the Past Month,12 or Older,2004-06,"Midwest",0.5398248708,0.5320563242,0.5475741151
Alcohol Use in the Past Month,12 to 17,2004-06,"Midwest",0.1769107232,0.1708738742,0.183113747
Alcohol Use in the Past Month,18 or Older,2004-06,"Midwest",0.5818816052,0.5733042032,0.5904097699
Alcohol Use in the Past Month,18 to 25,2004-06,"Midwest",0.6693804457,0.6612477127,0.6774131807
Alcohol Use in the Past Month,26 or Older,2004-06,"Midwest",0.5662345395,0.556540382,0.5758782753
Alcohol Use in the Past Month,12 or Older,2004-06,"Northeast",0.5551325732,0.5455826022,0.5646419964
Alcohol Use in the Past Month,12 to 17,2004-06,"Northeast",0.1869749903,0.1793773451,0.1948180418
Alcohol Use in the Past Month,18 or Older,2004-06,"Northeast",0.5956895262,0.5851911208,0.6061010759
Alcohol Use in the Past Month,18 to 25,2004-06,"Northeast",0.6596093306,0.6490221586,0.6700395042
Alcohol Use in the Past Month,26 or Older,2004-06,"Northeast",0.5853117782,0.5734970984,0.5970291424
Alcohol Use in the Past Month,12 or Older,2004-06,"United States",0.5101062104,0.5044009353,0.5158088541
Alcohol Use in the Past Month,12 to 17,2004-06,"United States",0.1684573389,0.1647200857,0.1722618978
Alcohol Use in the Past Month,18 or Older,2004-06,"United States",0.549728841,0.544602453,0.5548446913
Alcohol Use in the Past Month,18 to 25,2004-06,"United States",0.6097663428,0.6038313481,0.6156690168
Alcohol Use in the Past Month,26 or Older,2004-06,"United States",0.5392392927,0.533422436,0.5450454815
Alcohol Use in the Past Month,12 or Older,2004-06,"Alabama",0.4151507783,0.3876032231,0.4432391345
Alcohol Use in the Past Month,12 to 17,2004-06,"Alabama",0.1613442802,0.1401905418,0.1850031613
Alcohol Use in the Past Month,18 or Older,2004-06,"Alabama",0.4438985223,0.4134686682,0.4747551672
Alcohol Use in the Past Month,18 to 25,2004-06,"Alabama",0.5289380714,0.4963837862,0.5612480353
Alcohol Use in the Past Month,26 or Older,2004-06,"Alabama",0.4290075277,0.3946746532,0.4640375052
Alcohol Use in the Past Month,12 or Older,2004-06,"Alabama Region 1",0.3611979863,0.3164091061,0.4085378731
Alcohol Use in the Past Month,12 to 17,2004-06,"Alabama Region 1",0.1530136085,0.1215453341,0.1908589555
Alcohol Use in the Past Month,18 or Older,2004-06,"Alabama Region 1",0.3833086408,0.3344168134,0.4346802393
Alcohol Use in the Past Month,18 to 25,2004-06,"Alabama Region 1",0.4739779694,0.4150199137,0.5336706632
Alcohol Use in the Past Month,26 or Older,2004-06,"Alabama Region 1",0.3692317829,0.315305181,0.4266345396
Alcohol Use in the Past Month,12 or Older,2004-06,"Alabama Region 2",0.4332371035,0.3886828597,0.4788976351
Alcohol Use in the Past Month,12 to 17,2004-06,"Alabama Region 2",0.1716952253,0.1381842835,0.2113399908
Alcohol Use in the Past Month,18 or Older,2004-06,"Alabama Region 2",0.4622121517,0.4132117859,0.5119535671
Alcohol Use in the Past Month,18 to 25,2004-06,"Alabama Region 2",0.5607189569,0.5070313281,0.6130221616
Alcohol Use in the Past Month,26 or Older,2004-06,"Alabama Region 2",0.4446150859,0.3895338497,0.501091778
Alcohol Use in the Past Month,12 or Older,2004-06,"Alabama Region 3",0.4374952499,0.3837827449,0.4927143916
Alcohol Use in the Past Month,12 to 17,2004-06,"Alabama Region 3",0.1418536346,0.1092193645,0.1822439395
Alcohol Use in the Past Month,18 or Older,2004-06,"Alabama Region 3",0.474397631,0.4147259386,0.5348096133
Alcohol Use in the Past Month,18 to 25,2004-06,"Alabama Region 3",0.5473708238,0.4872727856,0.6061187507
Alcohol Use in the Past Month,26 or Older,2004-06,"Alabama Region 3",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Alabama Region 4",0.4391110063,0.389593096,0.4898717351
Alcohol Use in the Past Month,12 to 17,2004-06,"Alabama Region 4",0.1735100316,0.1381604829,0.2156410439
Alcohol Use in the Past Month,18 or Older,2004-06,"Alabama Region 4",0.4700816507,0.4154815859,0.5254073288
Alcohol Use in the Past Month,18 to 25,2004-06,"Alabama Region 4",0.5275684807,0.4655670974,0.5887309614
Alcohol Use in the Past Month,26 or Older,2004-06,"Alabama Region 4",0.4607008102,0.3998869315,0.5227075963
Alcohol Use in the Past Month,12 or Older,2004-06,"Alaska",0.5144841748,0.4881221222,0.5407658783
Alcohol Use in the Past Month,12 to 17,2004-06,"Alaska",0.1554590715,0.1340471573,0.179581914
Alcohol Use in the Past Month,18 or Older,2004-06,"Alaska",0.5673850041,0.5374188823,0.5968660748
Alcohol Use in the Past Month,18 to 25,2004-06,"Alaska",0.5764325165,0.5424960614,0.6096629157
Alcohol Use in the Past Month,26 or Older,2004-06,"Alaska",0.5656253345,0.5316274542,0.5990167646
Alcohol Use in the Past Month,12 or Older,2004-06,"Alaska Southeast",0.5074721707,0.4442890947,0.5704174543
Alcohol Use in the Past Month,12 to 17,2004-06,"Alaska Southeast",0.1493847091,0.1128686549,0.1951163276
Alcohol Use in the Past Month,18 or Older,2004-06,"Alaska Southeast",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,18 to 25,2004-06,"Alaska Southeast",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2004-06,"Alaska Southeast",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Alaska Gulf Coast",0.4765210925,0.4109730066,0.5428880934
Alcohol Use in the Past Month,12 to 17,2004-06,"Alaska Gulf Coast",0.1354834252,0.1003078999,0.180519145
Alcohol Use in the Past Month,18 or Older,2004-06,"Alaska Gulf Coast",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,18 to 25,2004-06,"Alaska Gulf Coast",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2004-06,"Alaska Gulf Coast",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Alaska Rural",0.3421837591,0.2863536057,0.4027558888
Alcohol Use in the Past Month,12 to 17,2004-06,"Alaska Rural",0.0991897665,0.0720345179,0.1350916136
Alcohol Use in the Past Month,18 or Older,2004-06,"Alaska Rural",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,18 to 25,2004-06,"Alaska Rural",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2004-06,"Alaska Rural",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Alaska Urban",0.55127376,0.520268281,0.5818857735
Alcohol Use in the Past Month,12 to 17,2004-06,"Alaska Urban",0.1715876357,0.1430657822,0.2044391063
Alcohol Use in the Past Month,18 or Older,2004-06,"Alaska Urban",0.6060589218,0.5710164907,0.6400433065
Alcohol Use in the Past Month,18 to 25,2004-06,"Alaska Urban",0.610081816,0.5701048998,0.6486323887
Alcohol Use in the Past Month,26 or Older,2004-06,"Alaska Urban",0.6052371166,0.5648101718,0.6442738481
Alcohol Use in the Past Month,12 or Older,2004-06,"Arizona",0.5346580949,0.5076609009,0.5614537451
Alcohol Use in the Past Month,12 to 17,2004-06,"Arizona",0.1790768713,0.1558249328,0.2049560426
Alcohol Use in the Past Month,18 or Older,2004-06,"Arizona",0.5773785204,0.5475016099,0.6066998371
Alcohol Use in the Past Month,18 to 25,2004-06,"Arizona",0.5924259526,0.5596356859,0.6244132376
Alcohol Use in the Past Month,26 or Older,2004-06,"Arizona",0.5746872402,0.540784652,0.6079016581
Alcohol Use in the Past Month,12 or Older,2004-06,"Arizona Central",0.5600150668,0.527394067,0.5921257964
Alcohol Use in the Past Month,12 to 17,2004-06,"Arizona Central",0.1821062155,0.1526798051,0.2157598982
Alcohol Use in the Past Month,18 or Older,2004-06,"Arizona Central",0.6049526065,0.5687590099,0.6400310743
Alcohol Use in the Past Month,18 to 25,2004-06,"Arizona Central",0.5922405216,0.5510777847,0.6321483504
Alcohol Use in the Past Month,26 or Older,2004-06,"Arizona Central",0.6073203061,0.5657439961,0.6473969555
