outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2004-06,"West",0.0682615354,0.0644566172,0.0722737088
Marijuana Use in the Past Month,12 to 17,2004-06,"West",0.0756756869,0.0700389301,0.0817262246
Marijuana Use in the Past Month,18 or Older,2004-06,"West",0.0673614653,0.0631771761,0.0718016441
Marijuana Use in the Past Month,18 to 25,2004-06,"West",0.1644664908,0.1566168215,0.1726290581
Marijuana Use in the Past Month,26 or Older,2004-06,"West",0.0496428383,0.0450450424,0.0546830628
Marijuana Use in the Past Month,12 or Older,2004-06,"South",0.0526668895,0.0503116598,0.0551259743
Marijuana Use in the Past Month,12 to 17,2004-06,"South",0.0616576868,0.0580561462,0.0654671223
Marijuana Use in the Past Month,18 or Older,2004-06,"South",0.051629151,0.0490538545,0.0543319242
Marijuana Use in the Past Month,18 to 25,2004-06,"South",0.1440086326,0.1382645647,0.1499498082
Marijuana Use in the Past Month,26 or Older,2004-06,"South",0.03557923,0.0327734962,0.0386155726
Marijuana Use in the Past Month,12 or Older,2004-06,"Midwest",0.0586406936,0.0560800311,0.0613106837
Marijuana Use in the Past Month,12 to 17,2004-06,"Midwest",0.0697141375,0.0657404093,0.073909059
Marijuana Use in the Past Month,18 or Older,2004-06,"Midwest",0.0573573897,0.0545838514,0.0602628751
Marijuana Use in the Past Month,18 to 25,2004-06,"Midwest",0.1571747359,0.1512154003,0.1633237355
Marijuana Use in the Past Month,26 or Older,2004-06,"Midwest",0.039515706,0.0364855223,0.042786376
Marijuana Use in the Past Month,12 or Older,2004-06,"Northeast",0.0685351146,0.0651462436,0.0720866793
Marijuana Use in the Past Month,12 to 17,2004-06,"Northeast",0.079116742,0.0739141827,0.0846520182
Marijuana Use in the Past Month,18 or Older,2004-06,"Northeast",0.0673664642,0.0637038395,0.0712236511
Marijuana Use in the Past Month,18 to 25,2004-06,"Northeast",0.2013666009,0.1929180839,0.2100887959
Marijuana Use in the Past Month,26 or Older,2004-06,"Northeast",0.0455755109,0.0416173463,0.0498905335
Marijuana Use in the Past Month,12 or Older,2004-06,"United States",0.0605401858,0.058843537,0.0622825172
Marijuana Use in the Past Month,12 to 17,2004-06,"United States",0.069930539,0.0673799459,0.0725701691
Marijuana Use in the Past Month,18 or Older,2004-06,"United States",0.0594511423,0.0575588478,0.0614015943
Marijuana Use in the Past Month,18 to 25,2004-06,"United States",0.1619969227,0.1578913223,0.1661882117
Marijuana Use in the Past Month,26 or Older,2004-06,"United States",0.0415346919,0.0395308605,0.0436354834
Marijuana Use in the Past Month,12 or Older,2004-06,"Alabama",0.0477405244,0.0398974543,0.0570338021
Marijuana Use in the Past Month,12 to 17,2004-06,"Alabama",0.0619629451,0.0490281944,0.0780301722
Marijuana Use in the Past Month,18 or Older,2004-06,"Alabama",0.0461283517,0.0378899293,0.0560536952
Marijuana Use in the Past Month,18 to 25,2004-06,"Alabama",0.1267157691,0.1066508552,0.1499221129
Marijuana Use in the Past Month,26 or Older,2004-06,"Alabama",0.0320176707,0.024034053,0.0425376943
Marijuana Use in the Past Month,12 or Older,2004-06,"Alabama Region 1",0.0395674907,0.0295977899,0.0527129598
Marijuana Use in the Past Month,12 to 17,2004-06,"Alabama Region 1",0.0622935382,0.0431598276,0.0891196014
Marijuana Use in the Past Month,18 or Older,2004-06,"Alabama Region 1",0.0371502249,0.0269255881,0.0510538225
Marijuana Use in the Past Month,18 to 25,2004-06,"Alabama Region 1",0.1090605111,0.0795102367,0.147829484
Marijuana Use in the Past Month,26 or Older,2004-06,"Alabama Region 1",0.0259527719,0.0166858705,0.0401560968
Marijuana Use in the Past Month,12 or Older,2004-06,"Alabama Region 2",0.0527260829,0.0410450191,0.0674974902
Marijuana Use in the Past Month,12 to 17,2004-06,"Alabama Region 2",0.0644826122,0.0448732753,0.0918371653
Marijuana Use in the Past Month,18 or Older,2004-06,"Alabama Region 2",0.0514211328,0.0391977588,0.0671896699
Marijuana Use in the Past Month,18 to 25,2004-06,"Alabama Region 2",0.1429724959,0.1115367998,0.1814585442
Marijuana Use in the Past Month,26 or Older,2004-06,"Alabama Region 2",0.035073713,0.0236242973,0.0517777777
Marijuana Use in the Past Month,12 or Older,2004-06,"Alabama Region 3",0.0495650295,0.0364575378,0.0670570628
Marijuana Use in the Past Month,12 to 17,2004-06,"Alabama Region 3",0.0543967357,0.0357028459,0.0820458801
Marijuana Use in the Past Month,18 or Older,2004-06,"Alabama Region 3",0.04896663,0.0351549192,0.0678232606
Marijuana Use in the Past Month,18 to 25,2004-06,"Alabama Region 3",0.1201549167,0.0873225497,0.1631255196
Marijuana Use in the Past Month,26 or Older,2004-06,"Alabama Region 3",0.0335790457,0.0211108226,0.0530123097
Marijuana Use in the Past Month,12 or Older,2004-06,"Alabama Region 4",0.0493950948,0.0371973479,0.0653213523
Marijuana Use in the Past Month,12 to 17,2004-06,"Alabama Region 4",0.0646147903,0.0451777446,0.0916119794
Marijuana Use in the Past Month,18 or Older,2004-06,"Alabama Region 4",0.0476206782,0.034862034,0.0647354804
Marijuana Use in the Past Month,18 to 25,2004-06,"Alabama Region 4",0.1295277399,0.0967539606,0.1712977099
Marijuana Use in the Past Month,26 or Older,2004-06,"Alabama Region 4",0.0342289328,0.0222879537,0.0522256733
Marijuana Use in the Past Month,12 or Older,2004-06,"Alaska",0.0988231655,0.0853764709,0.1141234424
Marijuana Use in the Past Month,12 to 17,2004-06,"Alaska",0.0967989299,0.078158288,0.1193099425
Marijuana Use in the Past Month,18 or Older,2004-06,"Alaska",0.0991392951,0.0844689029,0.1160346873
Marijuana Use in the Past Month,18 to 25,2004-06,"Alaska",0.2108197825,0.1845886148,0.2396828618
Marijuana Use in the Past Month,26 or Older,2004-06,"Alaska",0.0776369788,0.0619741532,0.0968495877
