outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,18 or Older,2002-04,"Alaska",0.101553609,0.0855123963,0.120208431
Marijuana Use in the Past Month,18 to 25,2002-04,"Alaska",0.2343935232,0.2062088289,0.2651437602
Marijuana Use in the Past Month,26 or Older,2002-04,"Alaska",0.0780752109,0.0611533217,0.0991849137
Marijuana Use in the Past Month,12 or Older,2002-04,"Alaska Southeast",0.1051372839,0.0774119373,0.1412720291
Marijuana Use in the Past Month,12 to 17,2002-04,"Alaska Southeast",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,18 or Older,2002-04,"Alaska Southeast",0.1009163685,0.0722464077,0.1392558676
Marijuana Use in the Past Month,18 to 25,2002-04,"Alaska Southeast",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2002-04,"Alaska Southeast",0.0771529872,0.0491531557,0.1191048514
Marijuana Use in the Past Month,12 or Older,2002-04,"Alaska Gulf Coast",0.1001066389,0.0723783388,0.1368900979
Marijuana Use in the Past Month,12 to 17,2002-04,"Alaska Gulf Coast",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,18 or Older,2002-04,"Alaska Gulf Coast",0.0963984411,0.0671348303,0.1365506925
Marijuana Use in the Past Month,18 to 25,2002-04,"Alaska Gulf Coast",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2002-04,"Alaska Gulf Coast",0.0764371738,0.0476522722,0.1204114672
Marijuana Use in the Past Month,12 or Older,2002-04,"Alaska Rural",0.0818770032,0.0599461949,0.1108846306
Marijuana Use in the Past Month,12 to 17,2002-04,"Alaska Rural",0.0807121708,0.0510664713,0.1252957186
Marijuana Use in the Past Month,18 or Older,2002-04,"Alaska Rural",0.082111714,0.0589170146,0.1133380741
Marijuana Use in the Past Month,18 to 25,2002-04,"Alaska Rural",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2002-04,"Alaska Rural",0.05871012,0.0370213403,0.0918926687
Marijuana Use in the Past Month,12 or Older,2002-04,"Alaska Urban",0.1072317496,0.0906709896,0.1263968352
Marijuana Use in the Past Month,12 to 17,2002-04,"Alaska Urban",0.1168564775,0.0936234239,0.1449330066
Marijuana Use in the Past Month,18 or Older,2002-04,"Alaska Urban",0.1057437772,0.0874836104,0.1272836921
Marijuana Use in the Past Month,18 to 25,2002-04,"Alaska Urban",0.2376844377,0.2044002546,0.2745184319
Marijuana Use in the Past Month,26 or Older,2002-04,"Alaska Urban",0.0815950824,0.0622085732,0.1063380853
Marijuana Use in the Past Month,12 or Older,2002-04,"Arizona",0.0565397845,0.0472689799,0.0675000374
Marijuana Use in the Past Month,12 to 17,2002-04,"Arizona",0.077264708,0.0623232618,0.0954236986
Marijuana Use in the Past Month,18 or Older,2002-04,"Arizona",0.0539963586,0.0441681558,0.0658608218
Marijuana Use in the Past Month,18 to 25,2002-04,"Arizona",0.1459454607,0.1244402349,0.1704436542
Marijuana Use in the Past Month,26 or Older,2002-04,"Arizona",0.0374012983,0.0275854287,0.0505285067
Marijuana Use in the Past Month,12 or Older,2002-04,"Arizona Central",0.0554115377,0.0448597137,0.0682679457
Marijuana Use in the Past Month,12 to 17,2002-04,"Arizona Central",0.0690584832,0.051707207,0.0916694384
Marijuana Use in the Past Month,18 or Older,2002-04,"Arizona Central",0.0537442756,0.0425424037,0.0676872013
Marijuana Use in the Past Month,18 to 25,2002-04,"Arizona Central",0.1401025886,0.1151033829,0.1694913837
Marijuana Use in the Past Month,26 or Older,2002-04,"Arizona Central",0.0374780555,0.0261912932,0.0533621589
Marijuana Use in the Past Month,12 or Older,2002-04,"Arizona South A",0.0641190669,0.0483449725,0.0845825197
Marijuana Use in the Past Month,12 to 17,2002-04,"Arizona South A",0.0836177886,0.0550466531,0.1250558057
Marijuana Use in the Past Month,18 or Older,2002-04,"Arizona South A",0.0617861749,0.0456700149,0.0830942681
Marijuana Use in the Past Month,18 to 25,2002-04,"Arizona South A",0.1655355992,0.1248206814,0.2162496557
Marijuana Use in the Past Month,26 or Older,2002-04,"Arizona South A",0.0428058966,0.027834029,0.0652902427
Marijuana Use in the Past Month,12 or Older,2002-04,"Arizona Rural North",0.0615016733,0.0449173048,0.0836728744
Marijuana Use in the Past Month,12 to 17,2002-04,"Arizona Rural North",0.1060551286,0.0739280155,0.1498841435
Marijuana Use in the Past Month,18 or Older,2002-04,"Arizona Rural North",0.055982489,0.0393146464,0.0791347419
Marijuana Use in the Past Month,18 to 25,2002-04,"Arizona Rural North",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2002-04,"Arizona Rural North",0.0381956639,0.0233502163,0.0618814309
Marijuana Use in the Past Month,12 or Older,2002-04,"Arizona Rural South",0.0468533136,0.0324976319,0.0671106715
Marijuana Use in the Past Month,12 to 17,2002-04,"Arizona Rural South",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,18 or Older,2002-04,"Arizona Rural South",0.0424813959,0.0286576342,0.0625440476
Marijuana Use in the Past Month,18 to 25,2002-04,"Arizona Rural South",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2002-04,"Arizona Rural South",0.0288624735,0.0171587032,0.0481581033
Marijuana Use in the Past Month,12 or Older,2002-04,"Arkansas",0.056930791,0.0482639469,0.067044322
Marijuana Use in the Past Month,12 to 17,2002-04,"Arkansas",0.0794041434,0.0654614211,0.0960114508
Marijuana Use in the Past Month,18 or Older,2002-04,"Arkansas",0.0543340669,0.0452256674,0.065151711
Marijuana Use in the Past Month,18 to 25,2002-04,"Arkansas",0.1620334913,0.1387397796,0.1883826731
Marijuana Use in the Past Month,26 or Older,2002-04,"Arkansas",0.0351766527,0.026381893,0.0467624486
Marijuana Use in the Past Month,12 or Older,2002-04,"Arkansas Catchment Area 8",0.0675050406,0.0513763558,0.0882261266
