data,aktywnosc,przedmiot,czas_total_min
5.12.2024,nauka,TWD,90
5.12.2024,nauka,MN,60
5.12.2024,przerwy_na_uczelni,,40
5.12.2024,sen,,360
5.12.2024,spotkania_towarzyskie,,60
5.12.2024,zajecia_na_uczelni,TWD,135
5.12.2024,dojazdy_na_uczelnie,,90
5.12.2024,czas_z_rodzina,,29
5.12.2024,zajecia_na_uczelni,jezyki,90
6.12.2024,nauka,TWD,180
6.12.2024,nauka,MN,90
6.12.2024,przerwy_na_uczelni,,180
6.12.2024,sen,,480
6.12.2024,spotkania_towarzyskie,,60
6.12.2024,zajecia_na_uczelni,RP,90
6.12.2024,dojazdy_na_uczelnie,,80
6.12.2024,czas_z_rodzina,,25
6.12.2024,zajecia_na_uczelni,MN,45
6.12.2024,odpoczynek_rozrywka,,60
7.12.2024,nauka,TWD,80
7.12.2024,nauka,MN,120
7.12.2024,czas_z_rodzina,,20
7.12.2024,odpoczynek_rozrywka,,120
7.12.2024,sen,,540
7.12.2024,hobby,,30
8.12.2024,nauka,ZPOiF,180
8.12.2024,nauka,MN,60
8.12.2024,nauka,TWD,20
8.12.2024,sen,,480
8.12.2024,hobby,,30
8.12.2024,odpoczynek_rozrywka,,180
9.12.2024,sen,,300
9.12.2024,odpoczynek_rozrywka,,120
9.12.2024,nauka,MN,40
9.12.2024,nauka,Fizyka,120
9.12.2024,hobby,,180
9.12.2024,czas_z_rodzina,,40
10.12.2024,sen,,300
11.12.2024,sen,,300
12.12.2024,sen,,400
13.12.2024,dojazdy_na_uczelnie,,80
13.12.2024,przerwy_na_uczelni,,180
13.12.2024,sen,,420
13.12.2024,nauka,MN,60
13.12.2024,czas_z_rodzina,,120
13.12.2024,zajecia_na_uczelni,MN,45
13.12.2024,zajecia_na_uczelni,RP,90
14.12.2024,odpoczynek_rozrywka,,300
14.12.2024,czas_z_rodzina,,300
14.12.2024,sen,,420
14.12.2024,hobby,,60
15.12.2024,odpoczynek_rozrywka,,100
15.12.2024,czas_z_rodzina,,300
15.12.2024,sen,,420
15.12.2024,hobby,,60
15.12.2024,nauka,MN,240
16.12.2024,nauka,MN,360
16.12.2024,nauka,jezyki,25
16.12.2024,spotkania_towarzyskie,,120
16.12.2024,odpoczynek_rozrywka,,120
16.12.2024,czas_z_rodzina,,25
16.12.2024,sen,,480
17.12.2024,spotkania_towarzyskie,,200
17.12.2024,sen,,240
17.12.2024,nauka,jezyki,20
17.12.2024,dojazdy_na_uczelnie,,80
17.12.2024,przerwy_na_uczelni,,40
17.12.2024,zajecia_na_uczelni,MN,90
17.12.2024,zajecia_na_uczelni,ASD,90
17.12.2024,zajecia_na_uczelni,jezyki,90
17.12.2024,czas_z_rodzina,,7
17.12.2024,hobby,,20
18.12.2024,nauka,jezyki,240
18.12.2024,sport,,90
18.12.2024,dojazdy_na_uczelnie,,80
18.12.2024,nauka,TWD,60
18.12.2024,spotkania_towarzyskie,,75
18.12.2024,odpoczynek_rozrywka,,120
18.12.2024,czas_z_rodzina,,23
18.12.2024,sen,,360
19.12.2024,zajecia_na_uczelni,MN,90
19.12.2024,zajecia_na_uczelni,TWD,135
19.12.2024,zajecia_na_uczelni,jezyki,90
19.12.2024,spotkania_towarzyskie,,90
19.12.2024,przerwy_na_uczelni,,150
19.12.2024,sen,,300
19.12.2024,nauka,RP,180
19.12.2024,dojazdy_na_uczelnie,,80
19.12.2024,odpoczynek_rozrywka,,40
20.12.2024,dojazdy_na_uczelnie,,80
20.12.2024,spotkania_towarzyskie,,90
20.12.2024,sen,,360
20.12.2024,nauka,ZPOiF,120
20.12.2024,spotkania_towarzyskie,,40
20.12.2024,sen,,80
20.12.2024,zajecia_na_uczelni,MN,45
20.12.2024,zajecia_na_uczelni,RP,90
20.12.2024,przerwy_na_uczelni,,180
20.12.2024,czas_z_rodzina,,90
21.12.2024,czas_z_rodzina,,600
21.12.2024,sen,,360
21.12.2024,odpoczynek_rozrywka,,240
21.12.2024,hobby,,60
22.12.2024,czas_z_rodzina,,420
22.12.2024,sen,,300
22.12.2024,odpoczynek_rozrywka,,150
22.12.2024,hobby,,30
22.12.2024,spotkania_towarzyskie,,300
23.12.2024,czas_z_rodzina,,480
23.12.2024,sen,,300
23.12.2024,odpoczynek_rozrywka,,180
23.12.2024,nauka,TWD,120
23.12.2024,hobby,,120
24.12.2024,czas_z_rodzina,,840
24.12.2024,sen,,150
24.12.2024,odpoczynek_rozrywka,,60
25.12.2024,czas_z_rodzina,,720
25.12.2024,sen,,300
25.12.2024,odpoczynek_rozrywka,,20
25.12.2024,hobby,,60
26.12.2024,czas_z_rodzina,,420
26.12.2024,sen,,300
26.12.2024,odpoczynek_rozrywka,,30
26.12.2024,hobby,,20
26.12.2024,spotkania_towarzyskie,,480
27.12.2024,czas_z_rodzina,,420
27.12.2024,sen,,360
27.12.2024,nauka,ZPOiF,180
27.12.2024,nauka,MN,240
27.12.2024,odpoczynek_rozrywka,,120
27.12.2024,hobby,,60
28.12.2024,nauka,ZPOiF,180
28.12.2024,czas_z_rodzina,,360
28.12.2024,sen,,300
28.12.2024,odpoczynek_rozrywka,,120
28.12.2024,spotkania_towarzyskie,,120
28.12.2024,hobby,,60
29.12.2024,nauka,ZPOiF,240
29.12.2024,nauka,MN,120
29.12.2024,czas_z_rodzina,,360
29.12.2024,sen,,400
29.12.2024,odpoczynek_rozrywka,,120
29.12.2024,hobby,,180
30.12.2024,czas_z_rodzina,,420
30.12.2024,sen,,500
30.12.2024,nauka,ZPOiF,200
30.12.2024,nauka,MN,120
30.12.2024,odpoczynek_rozrywka,,0
30.12.2024,hobby,,90
31.12.2024,czas_z_rodzina,,60
31.12.2024,sen,,300
31.12.2024,odpoczynek_rozrywka,,300
31.12.2024,spotkania_towarzyskie,,420
31.12.2024,hobby,,30
1.01.2025,sen,,300
1.01.2025,spotkania_towarzyskie,,200
1.01.2025,hobby,,120
1.01.2025,odpoczynek_rozrywka,,120
1.01.2025,czas_z_rodzina,,40
1.01.2025,nauka,jezyki,180
2.01.2025,sen,,400
2.01.2025,hobby,,10
2.01.2025,dojazdy_na_uczelnie,,40
2.01.2025,zajecia_na_uczelni,jezyki,90
2.01.2025,zajecia_na_uczelni,MN,40
2.01.2025,zajecia_na_uczelni,TWD,130
2.01.2025,nauka,RP,120
2.01.2025,przerwy_na_uczelni,,120
2.01.2025,dojazdy_na_uczelnie,,40
2.01.2025,czas_z_rodzina,,20
2.01.2025,nauka,jezyki,60
2.01.2025,hobby,,50
3.01.2025,sen,,370
3.01.2025,hobby,,0
3.01.2025,dojazdy_na_uczelnie,,40
3.01.2025,zajecia_na_uczelni,RP,90
3.01.2025,zajecia_na_uczelni,MN,45
3.01.2025,nauka,RP,140
3.01.2025,nauka,MN,60
3.01.2025,przerwy_na_uczelni,,70
3.01.2025,dojazdy_na_uczelnie,,40
3.01.2025,spotkania_towarzyskie,,100
3.01.2025,hobby,,0
4.01.2025,sen,,380
4.01.2025,spotkania_towarzyskie,,180
4.01.2025,hobby,,140
4.01.2025,nauka,ASD,70
4.01.2025,nauka,RP,200
4.01.2025,czas_z_rodzina,,20
5.01.2025,sen,,500
5.01.2025,hobby,,120
5.01.2025,odpoczynek_rozrywka,,100
5.01.2025,nauka,TWD,170
5.01.2025,nauka,ZPOiF,120
5.01.2025,czas_z_rodzina,,60
6.01.2025,sen,,540
6.01.2025,czas_z_rodzina,,30
6.01.2025,hobby,,30
6.01.2025,nauka,TWD,120
6.01.2025,nauka,ZPOiF,100
6.01.2025,hobby,,0
7.01.2025,sen,,400
7.01.2025,dojazdy_na_uczelnie,,50
7.01.2025,czas_z_rodzina,,30
7.01.2025,zajecia_na_uczelni,ASD,140
7.01.2025,spotkania_towarzyskie,,30
7.01.2025,przerwy_na_uczelni,,70
7.01.2025,zajecia_na_uczelni,jezyki,90
7.01.2025,nauka,MN,100
7.01.2025,dojazdy_na_uczelnie,,35
7.01.2025,hobby,,80
7.01.2025,odpoczynek_rozrywka,,30
7.01.2025,czas_z_rodzina,,30
8.01.2025,sen,,500
8.01.2025,sport,,120
8.01.2025,nauka,RP,180
8.01.2025,spotkania_towarzyskie,,60
8.01.2025,czas_z_rodzina,,30
8.01.2025,hobby,,45
9.01.2025,sen,,360
9.01.2025,dojazdy_na_uczelnie,,45
9.01.2025,zajecia_na_uczelni,RP,90
9.01.2025,zajecia_na_uczelni,jezyki,90
9.01.2025,zajecia_na_uczelni,MN,40
9.01.2025,zajecia_na_uczelni,TWD,180
9.01.2025,nauka,MN,50
9.01.2025,nauka,TWD,30
9.01.2025,przerwy_na_uczelni,,70
9.01.2025,dojazdy_na_uczelnie,,40
