data,aktywnosc,przedmiot,czas_total_min
5.12.2024,sen,,390
5.12.2024,dojazdy_na_uczelnie,,60
5.12.2024,zajecia_na_uczelni,RP,90
5.12.2024,nauka,MN,120
5.12.2024,przerwy_na_uczelni,,15
5.12.2024,zajecia_na_uczelni,jezyki,90
5.12.2024,przerwy_na_uczelni,,20
5.12.2024,nauka,MN,130
5.12.2024,zajecia_na_uczelni,TWD,150
5.12.2024,przerwy_na_uczelni,,15
5.12.2024,nauka,TWD,80
5.12.2024,przerwy_na_uczelni,,10
5.12.2024,dojazdy_na_uczelnie,,50
5.12.2024,czas_z_rodzina,,60
6.12.2024,sen,,390
6.12.2024,dojazdy_na_uczelnie,,30
6.12.2024,sport,,120
6.12.2024,dojazdy_na_uczelnie,,10
6.12.2024,przerwy_na_uczelni,,20
6.12.2024,zajecia_na_uczelni,RP,105
6.12.2024,nauka,MN,60
6.12.2024,przerwy_na_uczelni,,55
6.12.2024,nauka,TWD,20
6.12.2024,zajecia_na_uczelni,MN,45
6.12.2024,spotkania_towarzyskie,,330
7.12.2024,sen,,480
7.12.2024,hobby,,660
7.12.2024,spotkania_towarzyskie,,480
8.12.2024,sen,,270
8.12.2024,hobby,,510
8.12.2024,spotkania_towarzyskie,,300
8.12.2024,nauka,jezyki,90
9.12.2024,sen,,280
9.12.2024,dojazdy_na_uczelnie,,40
9.12.2024,sport,,120
9.12.2024,dojazdy_na_uczelnie,,15
9.12.2024,zajecia_na_uczelni,jezyki,90
9.12.2024,nauka,TWD,10
9.12.2024,nauka,MN,60
9.12.2024,hobby,,60
9.12.2024,spotkania_towarzyskie,,120
9.12.2024,dojazdy_na_uczelnie,,55
9.12.2024,czas_z_rodzina,,90
9.12.2024,odpoczynek_rozrywka,,60
9.12.2024,nauka,MN,60
10.12.2024,sen,,660
10.12.2024,nauka,MN,180
10.12.2024,nauka,Fizyka,120
10.12.2024,czas_z_rodzina,,60
11.12.2024,sen,,270
11.12.2024,dojazdy_na_uczelnie,,60
11.12.2024,nauka,Fizyka,90
11.12.2024,sport,,90
11.12.2024,dojazdy_na_uczelnie,,15
11.12.2024,przerwy_na_uczelni,,15
11.12.2024,zajecia_na_uczelni,Fizyka,45
11.12.2024,dojazdy_na_uczelnie,,50
11.12.2024,czas_z_rodzina,,45
11.12.2024,odpoczynek_rozrywka,,30
11.12.2024,nauka,TWD,260
12.12.2024,sen,,480
12.12.2024,dojazdy_na_uczelnie,,60
12.12.2024,przerwy_na_uczelni,,20
12.12.2024,zajecia_na_uczelni,MN,90
12.12.2024,przerwy_na_uczelni,,25
12.12.2024,zajecia_na_uczelni,TWD,90
12.12.2024,dojazdy_na_uczelnie,,60
12.12.2024,czas_z_rodzina,,90
12.12.2024,nauka,RP,90
12.12.2024,nauka,MN,120
12.12.2024,odpoczynek_rozrywka,,60
13.12.2024,sen,,480
13.12.2024,dojazdy_na_uczelnie,,60
13.12.2024,przerwy_na_uczelni,,15
13.12.2024,zajecia_na_uczelni,RP,90
13.12.2024,spotkania_towarzyskie,,80
13.12.2024,nauka,MN,40
13.12.2024,przerwy_na_uczelni,,15
13.12.2024,zajecia_na_uczelni,MN,45
13.12.2024,dojazdy_na_uczelnie,,60
13.12.2024,sen,,40
13.12.2024,czas_z_rodzina,,200
13.12.2024,odpoczynek_rozrywka,,60
14.12.2024,sen,,540
14.12.2024,sen,,120
14.12.2024,odpoczynek_rozrywka,,100
14.12.2024,spotkania_towarzyskie,,705
15.12.2024,sen,,390
15.12.2024,spotkania_towarzyskie,,270
15.12.2024,sen,,60
15.12.2024,hobby,,80
15.12.2024,hobby,,90
15.12.2024,spotkania_towarzyskie,,180
15.12.2024,hobby,,150
16.12.2024,sen,,300
16.12.2024,dojazdy_na_uczelnie,,35
16.12.2024,sport,,120
16.12.2024,dojazdy_na_uczelnie,,20
16.12.2024,przerwy_na_uczelni,,15
16.12.2024,zajecia_na_uczelni,jezyki,90
16.12.2024,nauka,TWD,20
16.12.2024,nauka,MN,90
16.12.2024,hobby,,120
16.12.2024,spotkania_towarzyskie,,20
