"Województwa","rok","liczba_urodzen","liczba_opuszczonych"
"dolnośląskie","2007",27591,81
"dolnośląskie","2008",29847,88
"dolnośląskie","2009",29826,86
"dolnośląskie","2010",29549,93
"dolnośląskie","2011",27660,84
"dolnośląskie","2012",27239,164
"dolnośląskie","2013",25805,103
"dolnośląskie","2014",27174,79
"dolnośląskie","2015",26258,102
"dolnośląskie","2016",27452,112
"dolnośląskie","2017",28401,89
"dolnośląskie","2018",27790,80
"dolnośląskie","2019",26922,85
"dolnośląskie","2020",25713,100
"dolnośląskie","2021",24431,89
"dolnośląskie","2022",22727,95
"dolnośląskie","2023",19524,118
"kujawsko-pomorskie","2007",21814,48
"kujawsko-pomorskie","2008",23253,52
"kujawsko-pomorskie","2009",23059,40
"kujawsko-pomorskie","2010",22596,58
"kujawsko-pomorskie","2011",20971,37
"kujawsko-pomorskie","2012",20764,51
"kujawsko-pomorskie","2013",19853,41
"kujawsko-pomorskie","2014",20031,58
"kujawsko-pomorskie","2015",19190,36
"kujawsko-pomorskie","2016",19840,28
"kujawsko-pomorskie","2017",20900,29
"kujawsko-pomorskie","2018",19866,43
"kujawsko-pomorskie","2019",19342,47
"kujawsko-pomorskie","2020",18013,44
"kujawsko-pomorskie","2021",16709,46
"kujawsko-pomorskie","2022",15061,43
"kujawsko-pomorskie","2023",13522,33
"lubelskie","2007",21795,30
"lubelskie","2008",23009,28
"lubelskie","2009",22964,27
"lubelskie","2010",22635,24
"lubelskie","2011",21363,22
"lubelskie","2012",21214,46
"lubelskie","2013",19738,46
"lubelskie","2014",19828,26
"lubelskie","2015",19715,27
"lubelskie","2016",19666,16
"lubelskie","2017",20898,14
"lubelskie","2018",20101,13
"lubelskie","2019",19286,7
"lubelskie","2020",18034,19
"lubelskie","2021",16641,11
"lubelskie","2022",15218,11
"lubelskie","2023",13492,19
"lubuskie","2007",10796,34
"lubuskie","2008",11351,50
"lubuskie","2009",11499,34
"lubuskie","2010",10939,39
"lubuskie","2011",10421,35
"lubuskie","2012",10367,31
"lubuskie","2013",9737,33
"lubuskie","2014",9716,38
"lubuskie","2015",9420,45
"lubuskie","2016",9734,25
"lubuskie","2017",10300,15
"lubuskie","2018",9467,19
"lubuskie","2019",9036,42
"lubuskie","2020",8634,24
"lubuskie","2021",7925,20
"lubuskie","2022",7090,38
"lubuskie","2023",6499,43
"łódzkie","2007",23869,64
"łódzkie","2008",25512,69
