wiek;0;od 1 do 3;od 4 do 6;od 7 do 9;10+
18-24;-6,2;16,2;37,5;46,2;57,5
25-34;10;41,7;63,9;76,8;82,9
35-44;28,5;60,7;85;98,9;103,3
45-54;38,4;74,4;98;111,1;114,8
55-64;48,5;83,1;106,7;118,6;120,4
65-74;63,2;93,7;112,5;117,6;123
75+;81,9;104,1;117,6;120,9;125,3
